交互检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,"charMap=displayname,name",,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表头,怪物编号,怪物名称,等级类型,怪物等级,怪物星级,怪物类型,技能ID,原型编号,模型编号,怪物职业,放大比例,攻击参数,内力参数,防御参数,法防参数,速度参数,生命参数,气力参数,命中参数,闪避参数,暴击参数,坚韧参数,暴伤参数,反击参数,,,,
,101014,王府丫鬟,1,8,1,1,"(35041,35002,)",5001,5001,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101015,旺财,1,9,1,2,"(35041,35002,)",5002,5002,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101016,小太监,1,9,1,1,"(35041,35002,)",5003,5003,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101017,小太监,1,9,1,1,"(35041,35002,)",5004,5004,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101018,三阿哥,1,9,1,1,"(35041,35002,)",5005,5005,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101019,旺财,1,9,1,1,"(35041,35002,)",5006,5006,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101020,小太监,1,9,1,1,"(35041,35002,)",5008,5008,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101021,容嬷嬷,1,9,1,1,"(35041,35002,)",5010,5010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101022,王府丫鬟,1,9,1,1,"(35041,35002,)",5011,5011,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101023,王府丫鬟,1,9,1,1,"(35041,35002,)",5012,5012,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101024,金玉妍,1,9,1,1,"(35041,35002,)",5013,5013,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101025,高佳晞月,1,9,1,1,"(35041,35002,)",5014,5014,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101026,王府丫鬟,1,9,1,1,"(35041,35002,)",5015,5015,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101027,皇宫教习嬷嬷,1,10,1,2,"(35041,35002,)",5016,5016,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101028,宫女,1,10,1,1,"(35041,35002,)",5017,5017,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101029,宫女,1,10,1,1,"(35041,35002,)",5015,5015,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101030,王钦,1,10,1,1,"(35041,35002,)",5016,5016,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101031,小太监,1,10,1,1,"(35041,35002,)",5017,5017,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101032,小太监,1,10,1,1,"(35041,35002,)",5015,5015,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101033,王钦,1,10,1,1,"(35041,35002,)",5015,5015,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101034,小太监,1,10,1,1,"(35041,35002,)",5016,5016,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101035,小太监,1,10,1,1,"(35041,35002,)",5017,5017,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101,雨荷,2,1,1,1,"(35041,35002,)",1,5008,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,102,夏侍卫,2,1,1,1,"(35041,35002,)",1,5015,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,103,齐夫人,1,1,1,1,"(35041,35002,)",1,5015,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,201,世界首领1级,1,1,3,2,"(1,2,)",201,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,202,世界首领2级,1,1,3,2,"(1,2,)",202,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,203,世界首领3级,1,1,3,2,"(1,2,)",203,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,204,世界首领4级,1,1,3,2,"(1,2,)",204,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,205,世界首领5级,1,1,3,2,"(1,2,)",205,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,206,世界首领6级,1,1,3,2,"(1,2,)",206,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,207,世界首领7级,1,1,3,2,"(1,2,)",207,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,208,世界首领8级,1,1,3,2,"(1,2,)",208,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,209,世界首领9级,1,1,3,2,"(1,2,)",209,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,210,世界首领10级,1,1,3,2,"(1,2,)",210,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,211,世界首领11级,1,1,3,2,"(1,2,)",211,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,212,世界首领12级,1,1,3,2,"(1,2,)",212,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,213,世界首领13级,1,1,3,2,"(1,2,)",213,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,214,世界首领14级,1,1,3,2,"(1,2,)",214,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,215,世界首领15级,1,1,3,2,"(1,2,)",215,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,216,世界首领16级,1,1,3,2,"(1,2,)",216,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,217,世界首领17级,1,1,3,2,"(1,2,)",217,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,218,世界首领18级,1,1,3,2,"(1,2,)",218,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,219,世界首领19级,1,1,3,2,"(1,2,)",219,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,220,世界首领20级,1,1,3,2,"(1,2,)",220,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,221,世界首领21级,1,1,3,2,"(1,2,)",221,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,222,世界首领22级,1,1,3,2,"(1,2,)",222,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,223,世界首领23级,1,1,3,2,"(1,2,)",223,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,224,世界首领24级,1,1,3,2,"(1,2,)",224,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,225,世界首领25级,1,1,3,2,"(1,2,)",225,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,226,世界首领26级,1,1,3,2,"(1,2,)",226,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,227,世界首领27级,1,1,3,2,"(1,2,)",227,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,228,世界首领28级,1,1,3,2,"(1,2,)",228,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,229,世界首领29级,1,1,3,2,"(1,2,)",229,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,230,世界首领30级,1,1,3,2,"(1,2,)",230,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,231,世界首领31级,1,1,3,2,"(1,2,)",231,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,232,世界首领32级,1,1,3,2,"(1,2,)",232,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,233,世界首领33级,1,1,3,2,"(1,2,)",233,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,234,世界首领34级,1,1,3,2,"(1,2,)",234,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,235,世界首领35级,1,1,3,2,"(1,2,)",235,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,236,世界首领36级,1,1,3,2,"(1,2,)",236,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,237,世界首领37级,1,1,3,2,"(1,2,)",237,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,238,世界首领38级,1,1,3,2,"(1,2,)",238,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,239,世界首领39级,1,1,3,2,"(1,2,)",239,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,240,世界首领40级,1,1,3,2,"(1,2,)",240,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,241,世界首领41级,1,1,3,2,"(1,2,)",241,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,242,世界首领42级,1,1,3,2,"(1,2,)",242,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,243,世界首领43级,1,1,3,2,"(1,2,)",243,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,244,世界首领44级,1,1,3,2,"(1,2,)",244,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,245,世界首领45级,1,1,3,2,"(1,2,)",245,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,246,世界首领46级,1,1,3,2,"(1,2,)",246,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,247,世界首领47级,1,1,3,2,"(1,2,)",247,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,248,世界首领48级,1,1,3,2,"(1,2,)",248,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,249,世界首领49级,1,1,3,2,"(1,2,)",249,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,250,世界首领50级,1,1,3,2,"(1,2,)",250,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,251,世界首领51级,1,1,3,2,"(1,2,)",251,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,252,世界首领52级,1,1,3,2,"(1,2,)",252,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,253,世界首领53级,1,1,3,2,"(1,2,)",253,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,254,世界首领54级,1,1,3,2,"(1,2,)",254,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,255,世界首领55级,1,1,3,2,"(1,2,)",255,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,256,世界首领56级,1,1,3,2,"(1,2,)",256,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,257,世界首领57级,1,1,3,2,"(1,2,)",257,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,258,世界首领58级,1,1,3,2,"(1,2,)",258,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,259,世界首领59级,1,1,3,2,"(1,2,)",259,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,260,世界首领60级,1,1,3,2,"(1,2,)",260,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,261,世界首领61级,1,1,3,2,"(1,2,)",261,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,262,世界首领62级,1,1,3,2,"(1,2,)",262,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,263,世界首领63级,1,1,3,2,"(1,2,)",263,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,264,世界首领64级,1,1,3,2,"(1,2,)",264,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,265,世界首领65级,1,1,3,2,"(1,2,)",265,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,266,世界首领66级,1,1,3,2,"(1,2,)",266,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,267,世界首领67级,1,1,3,2,"(1,2,)",267,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,268,世界首领68级,1,1,3,2,"(1,2,)",268,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,269,世界首领69级,1,1,3,2,"(1,2,)",269,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,270,世界首领70级,1,1,3,2,"(1,2,)",270,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,271,世界首领71级,1,1,3,2,"(1,2,)",271,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,272,世界首领72级,1,1,3,2,"(1,2,)",272,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,273,世界首领73级,1,1,3,2,"(1,2,)",273,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,274,世界首领74级,1,1,3,2,"(1,2,)",274,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,275,世界首领75级,1,1,3,2,"(1,2,)",275,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,276,世界首领76级,1,1,3,2,"(1,2,)",276,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,277,世界首领77级,1,1,3,2,"(1,2,)",277,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,278,世界首领78级,1,1,3,2,"(1,2,)",278,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,279,世界首领79级,1,1,3,2,"(1,2,)",279,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,280,世界首领80级,1,1,3,2,"(1,2,)",280,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,281,世界首领81级,1,1,3,2,"(1,2,)",281,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,282,世界首领82级,1,1,3,2,"(1,2,)",282,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,283,世界首领83级,1,1,3,2,"(1,2,)",283,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,284,世界首领84级,1,1,3,2,"(1,2,)",284,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,285,世界首领85级,1,1,3,2,"(1,2,)",285,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,286,世界首领86级,1,1,3,2,"(1,2,)",286,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,287,世界首领87级,1,1,3,2,"(1,2,)",287,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,288,世界首领88级,1,1,3,2,"(1,2,)",288,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,289,世界首领89级,1,1,3,2,"(1,2,)",289,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,290,世界首领90级,1,1,3,2,"(1,2,)",290,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,291,世界首领91级,1,1,3,2,"(1,2,)",291,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,292,世界首领92级,1,1,3,2,"(1,2,)",292,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,293,世界首领93级,1,1,3,2,"(1,2,)",293,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,294,世界首领94级,1,1,3,2,"(1,2,)",294,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,295,世界首领95级,1,1,3,2,"(1,2,)",295,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,296,世界首领96级,1,1,3,2,"(1,2,)",296,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,297,世界首领97级,1,1,3,2,"(1,2,)",297,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,298,世界首领98级,1,1,3,2,"(1,2,)",298,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,299,世界首领99级,1,1,3,2,"(1,2,)",299,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,300,世界首领100级,1,1,3,2,"(1,2,)",300,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,301,世界首领101级,1,1,3,2,"(1,2,)",301,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,302,世界首领102级,1,1,3,2,"(1,2,)",302,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,303,世界首领103级,1,1,3,2,"(1,2,)",303,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,304,世界首领104级,1,1,3,2,"(1,2,)",304,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,305,世界首领105级,1,1,3,2,"(1,2,)",305,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,306,世界首领106级,1,1,3,2,"(1,2,)",306,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,307,世界首领107级,1,1,3,2,"(1,2,)",307,40010,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
