交互检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表头,编号,名称,商品编号,渠道类型,商品类型,商品子类型,排序,价格,玉珏,正常赠送,每日赠送,首充赠送,标签,图标,首冲礼包,物品数量,图标,2次充值礼包,物品数量,图标,3次充值礼包,物品数量,图标,描述,充值赠赠送百分比,联想平台用,VIP等级显示,渠道特惠购买对应苹果id,名字,数量
,3008,32400玉玦,cn.gamejelly.gong.tb_32400yj,7,1,9,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,3009,36000玉玦,cn.gamejelly.gong.tb_36000yj,7,1,10,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,4000,60玉玦,cn.gamejelly.gong.i4_60yj,10,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,4001,300玉玦,cn.gamejelly.gong.i4_300yj,10,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,4002,980玉玦,cn.gamejelly.gong.i4_980yj,10,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,4003,1980玉玦,cn.gamejelly.gong.i4_1980yj,10,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,4004,3280玉玦,cn.gamejelly.gong.i4_3280yj,10,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,4005,6480玉玦,cn.gamejelly.gong.i4_6480yj,10,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,4006,月卡,cn.gamejelly.gong.appstore_yk,10,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,4007,周卡,cn.gamejelly.gong.appstore_zk,10,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,4008,32400玉玦,cn.gamejelly.gong.i4_32400yj,10,1,9,-1,3240,42725,,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,4009,36000玉玦,cn.gamejelly.gong.i4_36000yj,10,1,10,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,5000,60玉玦,cn.gamejelly.gong.hm_60yj,9,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,5001,300玉玦,cn.gamejelly.gong.hm_300yj,9,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,5002,980玉玦,cn.gamejelly.gong.hm_980yj,9,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,5003,1980玉玦,cn.gamejelly.gong.hm_1980yj,9,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,5004,3280玉玦,cn.gamejelly.gong.hm_3280yj,9,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,5005,6480玉玦,cn.gamejelly.gong.hm_6480yj,9,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,5006,月卡,cn.gamejelly.gong.appstore_yk,9,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,5007,周卡,cn.gamejelly.gong.appstore_zk,9,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,5008,32400玉玦,cn.gamejelly.gong.hm_32400yj,9,1,9,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,5009,36000玉玦,cn.gamejelly.gong.hm_36000yj,9,1,10,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,6000,60玉玦,cn.gamejelly.gong.xy_60yj,4,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,6001,300玉玦,cn.gamejelly.gong.xy_300yj,4,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,6002,980玉玦,cn.gamejelly.gong.xy_980yj,4,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,6003,1980玉玦,cn.gamejelly.gong.xy_1980yj,4,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,6004,3280玉玦,cn.gamejelly.gong.xy_3280yj,4,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,6005,6480玉玦,cn.gamejelly.gong.xy_6480yj,4,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,6006,月卡,cn.gamejelly.gong.appstore_yk,4,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,6007,周卡,cn.gamejelly.gong.appstore_zk,4,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,6008,32400玉玦,cn.gamejelly.gong.xy_32400yj,4,1,9,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,6009,36000玉玦,cn.gamejelly.gong.xy_36000yj,4,1,10,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,7000,60玉玦,cn.gamejelly.gong.gp_60yj,3,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,7001,300玉玦,cn.gamejelly.gong.gp_300yj,3,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,7002,980玉玦,cn.gamejelly.gong.gp_980yj,3,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,7003,1980玉玦,cn.gamejelly.gong.gp_1980yj,3,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,7004,3280玉玦,cn.gamejelly.gong.gp_3280yj,3,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,7005,6480玉玦,cn.gamejelly.gong.gp_6480yj,3,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,7006,月卡,cn.gamejelly.gong.appstore_yk,3,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,7007,周卡,cn.gamejelly.gong.appstore_zk,3,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,7008,32400玉玦,cn.gamejelly.gong.gp_32400yj,3,1,9,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,7009,36000玉玦,cn.gamejelly.gong.gp_36000yj,3,1,10,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,8000,60玉玦,cn.gamejelly.gong4533_60yj,12,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,8001,300玉玦,cn.gamejelly.gong4533_300yj,12,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,8002,980玉玦,cn.gamejelly.gong4533_980yj,12,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,8003,1980玉玦,cn.gamejelly.gong4533_1980yj,12,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,8004,3280玉玦,cn.gamejelly.gong4533_3280yj,12,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,8005,6480玉玦,cn.gamejelly.gong4533_6480yj,12,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,8006,月卡,cn.gamejelly.gong.appstore_yk,12,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,8007,周卡,cn.gamejelly.gong.appstore_zk,12,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,8008,32400玉玦,cn.gamejelly.gong4533_32400yj,12,1,9,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,8009,36000玉玦,cn.gamejelly.gong4533_36000yj,12,1,10,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,9000,60玉玦,com.changba.WDGT_60yj,13,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,9001,300玉玦,com.changba.WDGT_300yj,13,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,9002,980玉玦,com.changba.WDGT_980yj,13,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,9003,1980玉玦,com.changba.WDGT_1980yj,13,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,9004,3280玉玦,com.changba.WDGT_3280yj,13,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,9005,6480玉玦,com.changba.WDGT_6480yj,13,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,9006,月卡,cn.gamejelly.gong.appstore_yk,13,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,9007,周卡,cn.gamejelly.gong.appstore_zk,13,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,9008,10玉玦,com.changba.WDGT_10yj,13,1,9,-1,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,9009,36000玉玦,cn.changba.WDGT_36000yj,13,1,10,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,10000,60玉玦,cn.gamejelly.gong2_60yj,11,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,10001,300玉玦,cn.gamejelly.gong2_300yj,11,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,10002,980玉玦,cn.gamejelly.gong2_980yj,11,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,10003,1980玉玦,cn.gamejelly.gong2_1980yj,11,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,10004,3280玉玦,cn.gamejelly.gong2_3280yj,11,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,10005,6480玉玦,cn.gamejelly.gong2_6480yj,11,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,10006,月卡,cn.gamejelly.gong.appstore_yk,11,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,10007,周卡,cn.gamejelly.gong.appstore_zk,11,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,10008,10玉玦,cn.gamejelly.gong2_10yj,11,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,10009,32400玉玦,cn.gamejelly.gong2_32400yj,11,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,10010,36000玉玦,cn.gamejelly.gong2_36000yj,11,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,11000,60玉玦,cn.yuwan.appstore_60yj,14,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,11001,300玉玦,cn.yuwan.appstore_300yj,14,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,11002,980玉玦,cn.yuwan.appstore_980yj,14,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,11003,1980玉玦,cn.yuwan.appstore_1980yj,14,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,11004,3280玉玦,cn.yuwan.appstore_3280yj,14,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,11005,6480玉玦,cn.yuwan.appstore_6480yj,14,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,11006,月卡,cn.gamejelly.gong.appstore_yk,14,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,11007,周卡,cn.gamejelly.gong.appstore_zk,14,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,11008,10玉玦,cn.yuwan.appstore_10yj,14,1,9,-1,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,11009,36000玉玦,cn.yuwan.appstore_36000yj,14,1,10,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,12000,60玉玦,cn.gamejelly.gong3_60yj,15,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,12001,300玉玦,cn.gamejelly.gong3_300yj,15,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,12002,980玉玦,cn.gamejelly.gong3_980yj,15,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,12003,1980玉玦,cn.gamejelly.gong3_1980yj,15,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,12004,3280玉玦,cn.gamejelly.gong3_3280yj,15,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,12005,6480玉玦,cn.gamejelly.gong3_6480yj,15,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,12006,月卡,cn.gamejelly.gong.appstore_yk,15,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,12007,周卡,cn.gamejelly.gong.appstore_zk,15,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,12008,10玉玦,cn.gamejelly.gong3_10yj,15,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,12009,32400玉玦,cn.gamejelly.gong3_32400yj,15,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,12010,36000玉玦,cn.gamejelly.gong.gong3_36000yj,15,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,13000,60玉玦,cn.gamejelly.gong4_60yj,16,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,13001,300玉玦,cn.gamejelly.gong4_300yj,16,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,13002,980玉玦,cn.gamejelly.gong4_980yj,16,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,13003,1980玉玦,cn.gamejelly.gong4_1980yj,16,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,13004,3280玉玦,cn.gamejelly.gong4_3280yj,16,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,13005,6480玉玦,cn.gamejelly.gong4_6480yj,16,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,13006,月卡,cn.gamejelly.gong.appstore_yk,16,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,13007,周卡,cn.gamejelly.gong.appstore_zk,16,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,13008,10玉玦,cn.gamejelly.gong4_10yj,16,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,13009,32400玉玦,cn.gamejelly.gong4_32400yj,16,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,13010,36000玉玦,cn.gamejelly.gong.gong4_36000yj,16,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,14000,60玉玦,cn.gamejelly.gong5_60yj,17,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,14001,300玉玦,cn.gamejelly.gong5_300yj,17,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,14002,980玉玦,cn.gamejelly.gong5_980yj,17,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,14003,1980玉玦,cn.gamejelly.gong5_1980yj,17,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,14004,3280玉玦,cn.gamejelly.gong5_3280yj,17,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,14005,6480玉玦,cn.gamejelly.gong5_6480yj,17,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,14006,月卡,cn.gamejelly.gong.appstore_yk,17,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,14007,周卡,cn.gamejelly.gong.appstore_zk,17,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,14008,10玉玦,cn.gamejelly.gong5_10yj,17,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,14009,32400玉玦,cn.gamejelly.gong5_32400yj,17,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,14010,36000玉玦,cn.gamejelly.gong.gong5_36000yj,17,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,15000,60玉玦,cn.gamejelly.gong6_60yj,18,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,15001,300玉玦,cn.gamejelly.gong6_300yj,18,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,15002,980玉玦,cn.gamejelly.gong6_980yj,18,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,15003,1980玉玦,cn.gamejelly.gong6_1980yj,18,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,15004,3280玉玦,cn.gamejelly.gong6_3280yj,18,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,15005,6480玉玦,cn.gamejelly.gong6_6480yj,18,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,15006,月卡,cn.gamejelly.gong.appstore_yk,18,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,15007,周卡,cn.gamejelly.gong.appstore_zk,18,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,15008,10玉玦,cn.gamejelly.gong6_10yj,18,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,15009,32400玉玦,cn.gamejelly.gong6_32400yj,18,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,15010,36000玉玦,cn.gamejelly.gong.gong6_36000yj,18,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,16000,60玉玦,cn.gamejelly.gong7_60yj,19,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,16001,300玉玦,cn.gamejelly.gong7_300yj,19,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,16002,980玉玦,cn.gamejelly.gong7_980yj,19,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,16003,1980玉玦,cn.gamejelly.gong7_1980yj,19,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,16004,3280玉玦,cn.gamejelly.gong7_3280yj,19,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,16005,6480玉玦,cn.gamejelly.gong7_6480yj,19,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,16006,月卡,cn.gamejelly.gong.appstore_yk,19,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,16007,周卡,cn.gamejelly.gong.appstore_zk,19,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,16008,10玉玦,cn.gamejelly.gong7_10yj,19,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,16009,32400玉玦,cn.gamejelly.gong7_32400yj,19,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,16010,36000玉玦,cn.gamejelly.gong.gong7_36000yj,19,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,17000,60玉玦,cn.gamejelly.gong8_60yj,20,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,17001,300玉玦,cn.gamejelly.gong8_300yj,20,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,17002,980玉玦,cn.gamejelly.gong8_980yj,20,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,17003,1980玉玦,cn.gamejelly.gong8_1980yj,20,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,17004,3280玉玦,cn.gamejelly.gong8_3280yj,20,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
