交互检查规则,,,,
导出规则,,,,
分类,基础信息,,,
,50,"(999,10000,)","(5000,5000,)","(2500,2500,)"
,51,"(999,10000,)","(5100,5100,)","(2550,2550,)"
,52,"(999,10000,)","(5200,5200,)","(2600,2600,)"
,53,"(999,10000,)","(5300,5300,)","(2650,2650,)"
,54,"(999,10000,)","(5400,5400,)","(2700,2700,)"
,55,"(999,10000,)","(5500,5500,)","(2750,2750,)"
,56,"(999,10000,)","(5600,5600,)","(2800,2800,)"
,57,"(999,10000,)","(5700,5700,)","(2850,2850,)"
,58,"(999,10000,)","(5800,5800,)","(2900,2900,)"
,59,"(999,10000,)","(5900,5900,)","(2950,2950,)"
,60,"(999,10000,)","(6000,6000,)","(3000,3000,)"
,61,"(999,10000,)","(6100,6100,)","(3050,3050,)"
,62,"(999,10000,)","(6200,6200,)","(3100,3100,)"
,63,"(999,10000,)","(6300,6300,)","(3150,3150,)"
,64,"(999,10000,)","(6400,6400,)","(3200,3200,)"
,65,"(999,10000,)","(6500,6500,)","(3250,3250,)"
,66,"(999,10000,)","(6600,6600,)","(3300,3300,)"
,67,"(999,10000,)","(6700,6700,)","(3350,3350,)"
,68,"(999,10000,)","(6800,6800,)","(3400,3400,)"
,69,"(999,10000,)","(6900,6900,)","(3450,3450,)"
,70,"(999,10000,)","(7000,7000,)","(3500,3500,)"
,71,"(999,10000,)","(7100,7100,)","(3550,3550,)"
,72,"(999,10000,)","(7200,7200,)","(3600,3600,)"
,73,"(999,10000,)","(7300,7300,)","(3650,3650,)"
,74,"(999,10000,)","(7400,7400,)","(3700,3700,)"
,75,"(999,10000,)","(7500,7500,)","(3750,3750,)"
,76,"(999,10000,)","(7600,7600,)","(3800,3800,)"
,77,"(999,10000,)","(7700,7700,)","(3850,3850,)"
,78,"(999,10000,)","(7800,7800,)","(3900,3900,)"
,79,"(999,10000,)","(7900,7900,)","(3950,3950,)"
,80,"(999,10000,)","(8000,8000,)","(4000,4000,)"
,81,"(999,10000,)","(8100,8100,)","(4050,4050,)"
,82,"(999,10000,)","(8200,8200,)","(4100,4100,)"
,83,"(999,10000,)","(8300,8300,)","(4150,4150,)"
,84,"(999,10000,)","(8400,8400,)","(4200,4200,)"
,85,"(999,10000,)","(8500,8500,)","(4250,4250,)"
,86,"(999,10000,)","(8600,8600,)","(4300,4300,)"
,87,"(999,10000,)","(8700,8700,)","(4350,4350,)"
,88,"(999,10000,)","(8800,8800,)","(4400,4400,)"
,89,"(999,10000,)","(8900,8900,)","(4450,4450,)"
,90,"(999,10000,)","(9000,9000,)","(4500,4500,)"
,91,"(999,10000,)","(9100,9100,)","(4550,4550,)"
,92,"(999,10000,)","(9200,9200,)","(4600,4600,)"
,93,"(999,10000,)","(9300,9300,)","(4650,4650,)"
,94,"(999,10000,)","(9400,9400,)","(4700,4700,)"
,95,"(999,10000,)","(9500,9500,)","(4750,4750,)"
,96,"(999,10000,)","(9600,9600,)","(4800,4800,)"
,97,"(999,10000,)","(9700,9700,)","(4850,4850,)"
,98,"(999,10000,)","(9800,9800,)","(4900,4900,)"
,99,"(999,10000,)","(9900,9900,)","(4950,4950,)"
,100,"(999,10000,)","(10000,10000,)","(5000,5000,)"
