交互检查规则,,,,,,,,,
导出规则,,,,,,,,,
分类,,,,,,,,,
表头,id,阵法,阵法书道具,开启阵位,阵法等级,升级需要消耗道具,升级需要道具数量,属性id,增加属性
,1038,31000,31020,"(1,2,3,4,5,6,)",38,"(31026,)","(72540,)","(10045,10045,10045,10045,10045,10045,)","(1026,1026,1026,1026,1026,1026,)"
,1039,31000,31020,"(1,2,3,4,5,6,)",39,"(31026,)","(76390,)","(10045,10045,10045,10045,10045,10045,)","(1053,1053,1053,1053,1053,1053,)"
,1040,31000,31020,"(1,2,3,4,5,6,)",40,"(31026,)","(80360,)","(10045,10045,10045,10045,10045,10045,)","(1080,1080,1080,1080,1080,1080,)"
,1041,31000,31020,"(1,2,3,4,5,6,)",41,"(31026,)","(84410,)","(10045,10045,10045,10045,10045,10045,)","(1107,1107,1107,1107,1107,1107,)"
,1042,31000,31020,"(1,2,3,4,5,6,)",42,"(31026,)","(88560,)","(10045,10045,10045,10045,10045,10045,)","(1134,1134,1134,1134,1134,1134,)"
,1043,31000,31020,"(1,2,3,4,5,6,)",43,"(31026,)","(92810,)","(10045,10045,10045,10045,10045,10045,)","(1161,1161,1161,1161,1161,1161,)"
,1044,31000,31020,"(1,2,3,4,5,6,)",44,"(31026,)","(97160,)","(10045,10045,10045,10045,10045,10045,)","(1188,1188,1188,1188,1188,1188,)"
,1045,31000,31020,"(1,2,3,4,5,6,)",45,"(31026,)","(101630,)","(10045,10045,10045,10045,10045,10045,)","(1215,1215,1215,1215,1215,1215,)"
,1046,31000,31020,"(1,2,3,4,5,6,)",46,"(31026,)","(106180,)","(10045,10045,10045,10045,10045,10045,)","(1242,1242,1242,1242,1242,1242,)"
,1047,31000,31020,"(1,2,3,4,5,6,)",47,"(31026,)","(110830,)","(10045,10045,10045,10045,10045,10045,)","(1269,1269,1269,1269,1269,1269,)"
,1048,31000,31020,"(1,2,3,4,5,6,)",48,"(31026,)","(115580,)","(10045,10045,10045,10045,10045,10045,)","(1296,1296,1296,1296,1296,1296,)"
,1049,31000,31020,"(1,2,3,4,5,6,)",49,"(31026,)","(120430,)","(10045,10045,10045,10045,10045,10045,)","(1323,1323,1323,1323,1323,1323,)"
,1050,31000,31020,"(1,2,3,4,5,6,)",50,"(31026,)","(125400,)","(10045,10045,10045,10045,10045,10045,)","(1350,1350,1350,1350,1350,1350,)"
星火凤舞阵,1051,31001,31021,"(1,2,3,4,5,6,)",1,"(31026,)","(250,)","(10046,10046,10046,10046,10046,10046,)","(30,30,30,30,30,30,)"
,1052,31001,31021,"(1,2,3,4,5,6,)",2,"(31026,)","(400,)","(10046,10046,10046,10046,10046,10046,)","(60,60,60,60,60,60,)"
,1053,31001,31021,"(1,2,3,4,5,6,)",3,"(31026,)","(650,)","(10046,10046,10046,10046,10046,10046,)","(90,90,90,90,90,90,)"
,1054,31001,31021,"(1,2,3,4,5,6,)",4,"(31026,)","(1000,)","(10046,10046,10046,10046,10046,10046,)","(120,120,120,120,120,120,)"
,1055,31001,31021,"(1,2,3,4,5,6,)",5,"(31026,)","(1470,)","(10046,10046,10046,10046,10046,10046,)","(150,150,150,150,150,150,)"
,1056,31001,31021,"(1,2,3,4,5,6,)",6,"(31026,)","(2020,)","(10046,10046,10046,10046,10046,10046,)","(180,180,180,180,180,180,)"
,1057,31001,31021,"(1,2,3,4,5,6,)",7,"(31026,)","(2670,)","(10046,10046,10046,10046,10046,10046,)","(210,210,210,210,210,210,)"
,1058,31001,31021,"(1,2,3,4,5,6,)",8,"(31026,)","(3420,)","(10046,10046,10046,10046,10046,10046,)","(240,240,240,240,240,240,)"
,1059,31001,31021,"(1,2,3,4,5,6,)",9,"(31026,)","(4270,)","(10046,10046,10046,10046,10046,10046,)","(270,270,270,270,270,270,)"
,1060,31001,31021,"(1,2,3,4,5,6,)",10,"(31026,)","(5240,)","(10046,10046,10046,10046,10046,10046,)","(300,300,300,300,300,300,)"
,1061,31001,31021,"(1,2,3,4,5,6,)",11,"(31026,)","(6290,)","(10046,10046,10046,10046,10046,10046,)","(330,330,330,330,330,330,)"
,1062,31001,31021,"(1,2,3,4,5,6,)",12,"(31026,)","(7440,)","(10046,10046,10046,10046,10046,10046,)","(360,360,360,360,360,360,)"
,1063,31001,31021,"(1,2,3,4,5,6,)",13,"(31026,)","(8690,)","(10046,10046,10046,10046,10046,10046,)","(390,390,390,390,390,390,)"
,1064,31001,31021,"(1,2,3,4,5,6,)",14,"(31026,)","(10040,)","(10046,10046,10046,10046,10046,10046,)","(420,420,420,420,420,420,)"
,1065,31001,31021,"(1,2,3,4,5,6,)",15,"(31026,)","(11510,)","(10046,10046,10046,10046,10046,10046,)","(450,450,450,450,450,450,)"
,1066,31001,31021,"(1,2,3,4,5,6,)",16,"(31026,)","(13060,)","(10046,10046,10046,10046,10046,10046,)","(480,480,480,480,480,480,)"
,1067,31001,31021,"(1,2,3,4,5,6,)",17,"(31026,)","(14710,)","(10046,10046,10046,10046,10046,10046,)","(510,510,510,510,510,510,)"
,1068,31001,31021,"(1,2,3,4,5,6,)",18,"(31026,)","(16460,)","(10046,10046,10046,10046,10046,10046,)","(540,540,540,540,540,540,)"
,1069,31001,31021,"(1,2,3,4,5,6,)",19,"(31026,)","(18310,)","(10046,10046,10046,10046,10046,10046,)","(570,570,570,570,570,570,)"
,1070,31001,31021,"(1,2,3,4,5,6,)",20,"(31026,)","(20280,)","(10046,10046,10046,10046,10046,10046,)","(600,600,600,600,600,600,)"
,1071,31001,31021,"(1,2,3,4,5,6,)",21,"(31026,)","(22330,)","(10046,10046,10046,10046,10046,10046,)","(630,630,630,630,630,630,)"
,1072,31001,31021,"(1,2,3,4,5,6,)",22,"(31026,)","(24480,)","(10046,10046,10046,10046,10046,10046,)","(660,660,660,660,660,660,)"
,1073,31001,31021,"(1,2,3,4,5,6,)",23,"(31026,)","(26730,)","(10046,10046,10046,10046,10046,10046,)","(690,690,690,690,690,690,)"
,1074,31001,31021,"(1,2,3,4,5,6,)",24,"(31026,)","(29080,)","(10046,10046,10046,10046,10046,10046,)","(720,720,720,720,720,720,)"
,1075,31001,31021,"(1,2,3,4,5,6,)",25,"(31026,)","(31550,)","(10046,10046,10046,10046,10046,10046,)","(750,750,750,750,750,750,)"
,1076,31001,31021,"(1,2,3,4,5,6,)",26,"(31026,)","(34100,)","(10046,10046,10046,10046,10046,10046,)","(780,780,780,780,780,780,)"
,1077,31001,31021,"(1,2,3,4,5,6,)",27,"(31026,)","(36750,)","(10046,10046,10046,10046,10046,10046,)","(810,810,810,810,810,810,)"
,1078,31001,31021,"(1,2,3,4,5,6,)",28,"(31026,)","(39500,)","(10046,10046,10046,10046,10046,10046,)","(840,840,840,840,840,840,)"
,1079,31001,31021,"(1,2,3,4,5,6,)",29,"(31026,)","(42350,)","(10046,10046,10046,10046,10046,10046,)","(870,870,870,870,870,870,)"
,1080,31001,31021,"(1,2,3,4,5,6,)",30,"(31026,)","(45320,)","(10046,10046,10046,10046,10046,10046,)","(900,900,900,900,900,900,)"
,1081,31001,31021,"(1,2,3,4,5,6,)",31,"(31026,)","(48370,)","(10046,10046,10046,10046,10046,10046,)","(930,930,930,930,930,930,)"
,1082,31001,31021,"(1,2,3,4,5,6,)",32,"(31026,)","(51520,)","(10046,10046,10046,10046,10046,10046,)","(960,960,960,960,960,960,)"
,1083,31001,31021,"(1,2,3,4,5,6,)",33,"(31026,)","(54770,)","(10046,10046,10046,10046,10046,10046,)","(990,990,990,990,990,990,)"
,1084,31001,31021,"(1,2,3,4,5,6,)",34,"(31026,)","(58120,)","(10046,10046,10046,10046,10046,10046,)","(1020,1020,1020,1020,1020,1020,)"
,1085,31001,31021,"(1,2,3,4,5,6,)",35,"(31026,)","(61590,)","(10046,10046,10046,10046,10046,10046,)","(1050,1050,1050,1050,1050,1050,)"
,1086,31001,31021,"(1,2,3,4,5,6,)",36,"(31026,)","(65140,)","(10046,10046,10046,10046,10046,10046,)","(1080,1080,1080,1080,1080,1080,)"
,1087,31001,31021,"(1,2,3,4,5,6,)",37,"(31026,)","(68790,)","(10046,10046,10046,10046,10046,10046,)","(1110,1110,1110,1110,1110,1110,)"
,1088,31001,31021,"(1,2,3,4,5,6,)",38,"(31026,)","(72540,)","(10046,10046,10046,10046,10046,10046,)","(1140,1140,1140,1140,1140,1140,)"
,1089,31001,31021,"(1,2,3,4,5,6,)",39,"(31026,)","(76390,)","(10046,10046,10046,10046,10046,10046,)","(1170,1170,1170,1170,1170,1170,)"
,1090,31001,31021,"(1,2,3,4,5,6,)",40,"(31026,)","(80360,)","(10046,10046,10046,10046,10046,10046,)","(1200,1200,1200,1200,1200,1200,)"
,1091,31001,31021,"(1,2,3,4,5,6,)",41,"(31026,)","(84410,)","(10046,10046,10046,10046,10046,10046,)","(1230,1230,1230,1230,1230,1230,)"
,1092,31001,31021,"(1,2,3,4,5,6,)",42,"(31026,)","(88560,)","(10046,10046,10046,10046,10046,10046,)","(1260,1260,1260,1260,1260,1260,)"
,1093,31001,31021,"(1,2,3,4,5,6,)",43,"(31026,)","(92810,)","(10046,10046,10046,10046,10046,10046,)","(1290,1290,1290,1290,1290,1290,)"
,1094,31001,31021,"(1,2,3,4,5,6,)",44,"(31026,)","(97160,)","(10046,10046,10046,10046,10046,10046,)","(1320,1320,1320,1320,1320,1320,)"
,1095,31001,31021,"(1,2,3,4,5,6,)",45,"(31026,)","(101630,)","(10046,10046,10046,10046,10046,10046,)","(1350,1350,1350,1350,1350,1350,)"
,1096,31001,31021,"(1,2,3,4,5,6,)",46,"(31026,)","(106180,)","(10046,10046,10046,10046,10046,10046,)","(1380,1380,1380,1380,1380,1380,)"
,1097,31001,31021,"(1,2,3,4,5,6,)",47,"(31026,)","(110830,)","(10046,10046,10046,10046,10046,10046,)","(1410,1410,1410,1410,1410,1410,)"
,1098,31001,31021,"(1,2,3,4,5,6,)",48,"(31026,)","(115580,)","(10046,10046,10046,10046,10046,10046,)","(1440,1440,1440,1440,1440,1440,)"
,1099,31001,31021,"(1,2,3,4,5,6,)",49,"(31026,)","(120430,)","(10046,10046,10046,10046,10046,10046,)","(1470,1470,1470,1470,1470,1470,)"
,1100,31001,31021,"(1,2,3,4,5,6,)",50,"(31026,)","(125400,)","(10046,10046,10046,10046,10046,10046,)","(1500,1500,1500,1500,1500,1500,)"
星芒鸳鸯阵,1101,31002,31022,"(1,2,3,4,5,6,)",1,"(31026,)","(250,)","(10047,10047,10047,10047,10047,10047,)","(30,30,30,30,30,30,)"
,1102,31002,31022,"(1,2,3,4,5,6,)",2,"(31026,)","(400,)","(10047,10047,10047,10047,10047,10047,)","(60,60,60,60,60,60,)"
,1103,31002,31022,"(1,2,3,4,5,6,)",3,"(31026,)","(650,)","(10047,10047,10047,10047,10047,10047,)","(90,90,90,90,90,90,)"
,1104,31002,31022,"(1,2,3,4,5,6,)",4,"(31026,)","(1000,)","(10047,10047,10047,10047,10047,10047,)","(120,120,120,120,120,120,)"
,1105,31002,31022,"(1,2,3,4,5,6,)",5,"(31026,)","(1470,)","(10047,10047,10047,10047,10047,10047,)","(150,150,150,150,150,150,)"
,1106,31002,31022,"(1,2,3,4,5,6,)",6,"(31026,)","(2020,)","(10047,10047,10047,10047,10047,10047,)","(180,180,180,180,180,180,)"
,1107,31002,31022,"(1,2,3,4,5,6,)",7,"(31026,)","(2670,)","(10047,10047,10047,10047,10047,10047,)","(210,210,210,210,210,210,)"
,1108,31002,31022,"(1,2,3,4,5,6,)",8,"(31026,)","(3420,)","(10047,10047,10047,10047,10047,10047,)","(240,240,240,240,240,240,)"
,1109,31002,31022,"(1,2,3,4,5,6,)",9,"(31026,)","(4270,)","(10047,10047,10047,10047,10047,10047,)","(270,270,270,270,270,270,)"
,1110,31002,31022,"(1,2,3,4,5,6,)",10,"(31026,)","(5240,)","(10047,10047,10047,10047,10047,10047,)","(300,300,300,300,300,300,)"
,1111,31002,31022,"(1,2,3,4,5,6,)",11,"(31026,)","(6290,)","(10047,10047,10047,10047,10047,10047,)","(330,330,330,330,330,330,)"
,1112,31002,31022,"(1,2,3,4,5,6,)",12,"(31026,)","(7440,)","(10047,10047,10047,10047,10047,10047,)","(360,360,360,360,360,360,)"
,1113,31002,31022,"(1,2,3,4,5,6,)",13,"(31026,)","(8690,)","(10047,10047,10047,10047,10047,10047,)","(390,390,390,390,390,390,)"
,1114,31002,31022,"(1,2,3,4,5,6,)",14,"(31026,)","(10040,)","(10047,10047,10047,10047,10047,10047,)","(420,420,420,420,420,420,)"
,1115,31002,31022,"(1,2,3,4,5,6,)",15,"(31026,)","(11510,)","(10047,10047,10047,10047,10047,10047,)","(450,450,450,450,450,450,)"
,1116,31002,31022,"(1,2,3,4,5,6,)",16,"(31026,)","(13060,)","(10047,10047,10047,10047,10047,10047,)","(480,480,480,480,480,480,)"
,1117,31002,31022,"(1,2,3,4,5,6,)",17,"(31026,)","(14710,)","(10047,10047,10047,10047,10047,10047,)","(510,510,510,510,510,510,)"
,1118,31002,31022,"(1,2,3,4,5,6,)",18,"(31026,)","(16460,)","(10047,10047,10047,10047,10047,10047,)","(540,540,540,540,540,540,)"
,1119,31002,31022,"(1,2,3,4,5,6,)",19,"(31026,)","(18310,)","(10047,10047,10047,10047,10047,10047,)","(570,570,570,570,570,570,)"
,1120,31002,31022,"(1,2,3,4,5,6,)",20,"(31026,)","(20280,)","(10047,10047,10047,10047,10047,10047,)","(600,600,600,600,600,600,)"
,1121,31002,31022,"(1,2,3,4,5,6,)",21,"(31026,)","(22330,)","(10047,10047,10047,10047,10047,10047,)","(630,630,630,630,630,630,)"
,1122,31002,31022,"(1,2,3,4,5,6,)",22,"(31026,)","(24480,)","(10047,10047,10047,10047,10047,10047,)","(660,660,660,660,660,660,)"
,1123,31002,31022,"(1,2,3,4,5,6,)",23,"(31026,)","(26730,)","(10047,10047,10047,10047,10047,10047,)","(690,690,690,690,690,690,)"
,1124,31002,31022,"(1,2,3,4,5,6,)",24,"(31026,)","(29080,)","(10047,10047,10047,10047,10047,10047,)","(720,720,720,720,720,720,)"
,1125,31002,31022,"(1,2,3,4,5,6,)",25,"(31026,)","(31550,)","(10047,10047,10047,10047,10047,10047,)","(750,750,750,750,750,750,)"
,1126,31002,31022,"(1,2,3,4,5,6,)",26,"(31026,)","(34100,)","(10047,10047,10047,10047,10047,10047,)","(780,780,780,780,780,780,)"
,1127,31002,31022,"(1,2,3,4,5,6,)",27,"(31026,)","(36750,)","(10047,10047,10047,10047,10047,10047,)","(810,810,810,810,810,810,)"
,1128,31002,31022,"(1,2,3,4,5,6,)",28,"(31026,)","(39500,)","(10047,10047,10047,10047,10047,10047,)","(840,840,840,840,840,840,)"
,1129,31002,31022,"(1,2,3,4,5,6,)",29,"(31026,)","(42350,)","(10047,10047,10047,10047,10047,10047,)","(870,870,870,870,870,870,)"
,1130,31002,31022,"(1,2,3,4,5,6,)",30,"(31026,)","(45320,)","(10047,10047,10047,10047,10047,10047,)","(900,900,900,900,900,900,)"
,1131,31002,31022,"(1,2,3,4,5,6,)",31,"(31026,)","(48370,)","(10047,10047,10047,10047,10047,10047,)","(930,930,930,930,930,930,)"
,1132,31002,31022,"(1,2,3,4,5,6,)",32,"(31026,)","(51520,)","(10047,10047,10047,10047,10047,10047,)","(960,960,960,960,960,960,)"
,1133,31002,31022,"(1,2,3,4,5,6,)",33,"(31026,)","(54770,)","(10047,10047,10047,10047,10047,10047,)","(990,990,990,990,990,990,)"
,1134,31002,31022,"(1,2,3,4,5,6,)",34,"(31026,)","(58120,)","(10047,10047,10047,10047,10047,10047,)","(1020,1020,1020,1020,1020,1020,)"
,1135,31002,31022,"(1,2,3,4,5,6,)",35,"(31026,)","(61590,)","(10047,10047,10047,10047,10047,10047,)","(1050,1050,1050,1050,1050,1050,)"
,1136,31002,31022,"(1,2,3,4,5,6,)",36,"(31026,)","(65140,)","(10047,10047,10047,10047,10047,10047,)","(1080,1080,1080,1080,1080,1080,)"
,1137,31002,31022,"(1,2,3,4,5,6,)",37,"(31026,)","(68790,)","(10047,10047,10047,10047,10047,10047,)","(1110,1110,1110,1110,1110,1110,)"
,1138,31002,31022,"(1,2,3,4,5,6,)",38,"(31026,)","(72540,)","(10047,10047,10047,10047,10047,10047,)","(1140,1140,1140,1140,1140,1140,)"
,1139,31002,31022,"(1,2,3,4,5,6,)",39,"(31026,)","(76390,)","(10047,10047,10047,10047,10047,10047,)","(1170,1170,1170,1170,1170,1170,)"
,1140,31002,31022,"(1,2,3,4,5,6,)",40,"(31026,)","(80360,)","(10047,10047,10047,10047,10047,10047,)","(1200,1200,1200,1200,1200,1200,)"
,1141,31002,31022,"(1,2,3,4,5,6,)",41,"(31026,)","(84410,)","(10047,10047,10047,10047,10047,10047,)","(1230,1230,1230,1230,1230,1230,)"
,1142,31002,31022,"(1,2,3,4,5,6,)",42,"(31026,)","(88560,)","(10047,10047,10047,10047,10047,10047,)","(1260,1260,1260,1260,1260,1260,)"
,1143,31002,31022,"(1,2,3,4,5,6,)",43,"(31026,)","(92810,)","(10047,10047,10047,10047,10047,10047,)","(1290,1290,1290,1290,1290,1290,)"
,1144,31002,31022,"(1,2,3,4,5,6,)",44,"(31026,)","(97160,)","(10047,10047,10047,10047,10047,10047,)","(1320,1320,1320,1320,1320,1320,)"
,1145,31002,31022,"(1,2,3,4,5,6,)",45,"(31026,)","(101630,)","(10047,10047,10047,10047,10047,10047,)","(1350,1350,1350,1350,1350,1350,)"
,1146,31002,31022,"(1,2,3,4,5,6,)",46,"(31026,)","(106180,)","(10047,10047,10047,10047,10047,10047,)","(1380,1380,1380,1380,1380,1380,)"
,1147,31002,31022,"(1,2,3,4,5,6,)",47,"(31026,)","(110830,)","(10047,10047,10047,10047,10047,10047,)","(1410,1410,1410,1410,1410,1410,)"
,1148,31002,31022,"(1,2,3,4,5,6,)",48,"(31026,)","(115580,)","(10047,10047,10047,10047,10047,10047,)","(1440,1440,1440,1440,1440,1440,)"
,1149,31002,31022,"(1,2,3,4,5,6,)",49,"(31026,)","(120430,)","(10047,10047,10047,10047,10047,10047,)","(1470,1470,1470,1470,1470,1470,)"
,1150,31002,31022,"(1,2,3,4,5,6,)",50,"(31026,)","(125400,)","(10047,10047,10047,10047,10047,10047,)","(1500,1500,1500,1500,1500,1500,)"
琥珀龙腾阵,1151,31003,31023,"(1,2,3,4,5,6,)",1,"(31026,)","(250,)","(10048,10048,10048,10048,10048,10048,)","(612,612,612,612,612,612,)"
,1152,31003,31023,"(1,2,3,4,5,6,)",2,"(31026,)","(400,)","(10048,10048,10048,10048,10048,10048,)","(1224,1224,1224,1224,1224,1224,)"
,1153,31003,31023,"(1,2,3,4,5,6,)",3,"(31026,)","(650,)","(10048,10048,10048,10048,10048,10048,)","(1836,1836,1836,1836,1836,1836,)"
,1154,31003,31023,"(1,2,3,4,5,6,)",4,"(31026,)","(1000,)","(10048,10048,10048,10048,10048,10048,)","(2448,2448,2448,2448,2448,2448,)"
,1155,31003,31023,"(1,2,3,4,5,6,)",5,"(31026,)","(1470,)","(10048,10048,10048,10048,10048,10048,)","(3060,3060,3060,3060,3060,3060,)"
,1156,31003,31023,"(1,2,3,4,5,6,)",6,"(31026,)","(2020,)","(10048,10048,10048,10048,10048,10048,)","(3672,3672,3672,3672,3672,3672,)"
,1157,31003,31023,"(1,2,3,4,5,6,)",7,"(31026,)","(2670,)","(10048,10048,10048,10048,10048,10048,)","(4284,4284,4284,4284,4284,4284,)"
,1158,31003,31023,"(1,2,3,4,5,6,)",8,"(31026,)","(3420,)","(10048,10048,10048,10048,10048,10048,)","(4896,4896,4896,4896,4896,4896,)"
,1159,31003,31023,"(1,2,3,4,5,6,)",9,"(31026,)","(4270,)","(10048,10048,10048,10048,10048,10048,)","(5508,5508,5508,5508,5508,5508,)"
,1160,31003,31023,"(1,2,3,4,5,6,)",10,"(31026,)","(5240,)","(10048,10048,10048,10048,10048,10048,)","(6120,6120,6120,6120,6120,6120,)"
,1161,31003,31023,"(1,2,3,4,5,6,)",11,"(31026,)","(6290,)","(10048,10048,10048,10048,10048,10048,)","(6732,6732,6732,6732,6732,6732,)"
,1162,31003,31023,"(1,2,3,4,5,6,)",12,"(31026,)","(7440,)","(10048,10048,10048,10048,10048,10048,)","(7344,7344,7344,7344,7344,7344,)"
,1163,31003,31023,"(1,2,3,4,5,6,)",13,"(31026,)","(8690,)","(10048,10048,10048,10048,10048,10048,)","(7956,7956,7956,7956,7956,7956,)"
,1164,31003,31023,"(1,2,3,4,5,6,)",14,"(31026,)","(10040,)","(10048,10048,10048,10048,10048,10048,)","(8568,8568,8568,8568,8568,8568,)"
,1165,31003,31023,"(1,2,3,4,5,6,)",15,"(31026,)","(11510,)","(10048,10048,10048,10048,10048,10048,)","(9180,9180,9180,9180,9180,9180,)"
,1166,31003,31023,"(1,2,3,4,5,6,)",16,"(31026,)","(13060,)","(10048,10048,10048,10048,10048,10048,)","(9792,9792,9792,9792,9792,9792,)"
,1167,31003,31023,"(1,2,3,4,5,6,)",17,"(31026,)","(14710,)","(10048,10048,10048,10048,10048,10048,)","(10404,10404,10404,10404,10404,10404,)"
,1168,31003,31023,"(1,2,3,4,5,6,)",18,"(31026,)","(16460,)","(10048,10048,10048,10048,10048,10048,)","(11016,11016,11016,11016,11016,11016,)"
,1169,31003,31023,"(1,2,3,4,5,6,)",19,"(31026,)","(18310,)","(10048,10048,10048,10048,10048,10048,)","(11628,11628,11628,11628,11628,11628,)"
