交互检查规则,,,,,
导出规则,,,,,
分类,,,,,
表头,id,装备ID,强化等级,属性,属性值
,1061,"(11004,11005,11006,11007,)",105,"(10045,10046,10047,10048,)","(651,273,273,7875,)"
,1062,"(11004,11005,11006,11007,)",110,"(10045,10046,10047,10048,)","(682,286,286,8250,)"
,1063,"(11004,11005,11006,11007,)",115,"(10045,10046,10047,10048,)","(713,299,299,8625,)"
,1064,"(11004,11005,11006,11007,)",120,"(10045,10046,10047,10048,)","(744,312,312,9000,)"
,1065,"(11004,11005,11006,11007,)",125,"(10045,10046,10047,10048,)","(775,325,325,9375,)"
,1066,"(11004,11005,11006,11007,)",130,"(10045,10046,10047,10048,)","(806,338,338,9750,)"
,1067,"(11004,11005,11006,11007,)",135,"(10045,10046,10047,10048,)","(837,351,351,10125,)"
,1068,"(11004,11005,11006,11007,)",140,"(10045,10046,10047,10048,)","(868,364,364,10500,)"
,1069,"(11004,11005,11006,11007,)",145,"(10045,10046,10047,10048,)","(899,377,377,10875,)"
,1070,"(11004,11005,11006,11007,)",150,"(10045,10046,10047,10048,)","(930,390,390,11250,)"
,1071,"(11004,11005,11006,11007,)",155,"(10045,10046,10047,10048,)","(961,403,403,11625,)"
,1072,"(11004,11005,11006,11007,)",160,"(10045,10046,10047,10048,)","(992,416,416,12000,)"
,1073,"(11004,11005,11006,11007,)",165,"(10045,10046,10047,10048,)","(1023,429,429,12375,)"
,1074,"(11004,11005,11006,11007,)",170,"(10045,10046,10047,10048,)","(1054,442,442,12750,)"
,1075,"(11004,11005,11006,11007,)",175,"(10045,10046,10047,10048,)","(1085,455,455,13125,)"
,1076,"(11004,11005,11006,11007,)",180,"(10045,10046,10047,10048,)","(1116,468,468,13500,)"
,1077,"(11004,11005,11006,11007,)",185,"(10045,10046,10047,10048,)","(1147,481,481,13875,)"
,1078,"(11004,11005,11006,11007,)",190,"(10045,10046,10047,10048,)","(1178,494,494,14250,)"
,1079,"(11004,11005,11006,11007,)",195,"(10045,10046,10047,10048,)","(1209,507,507,14625,)"
,1080,"(11004,11005,11006,11007,)",200,"(10045,10046,10047,10048,)","(1240,520,520,15000,)"
,1081,"(11008,11009,11010,11011,)",5,"(10045,10046,10047,10048,)","(31,13,13,375,)"
,1082,"(11008,11009,11010,11011,)",10,"(10045,10046,10047,10048,)","(62,26,26,750,)"
,1083,"(11008,11009,11010,11011,)",15,"(10045,10046,10047,10048,)","(93,39,39,1125,)"
,1084,"(11008,11009,11010,11011,)",20,"(10045,10046,10047,10048,)","(124,52,52,1500,)"
,1085,"(11008,11009,11010,11011,)",25,"(10045,10046,10047,10048,)","(155,65,65,1875,)"
,1086,"(11008,11009,11010,11011,)",30,"(10045,10046,10047,10048,)","(186,78,78,2250,)"
,1087,"(11008,11009,11010,11011,)",35,"(10045,10046,10047,10048,)","(217,91,91,2625,)"
,1088,"(11008,11009,11010,11011,)",40,"(10045,10046,10047,10048,)","(248,104,104,3000,)"
,1089,"(11008,11009,11010,11011,)",45,"(10045,10046,10047,10048,)","(279,117,117,3375,)"
,1090,"(11008,11009,11010,11011,)",50,"(10045,10046,10047,10048,)","(310,130,130,3750,)"
,1091,"(11008,11009,11010,11011,)",55,"(10045,10046,10047,10048,)","(341,143,143,4125,)"
,1092,"(11008,11009,11010,11011,)",60,"(10045,10046,10047,10048,)","(372,156,156,4500,)"
,1093,"(11008,11009,11010,11011,)",65,"(10045,10046,10047,10048,)","(403,169,169,4875,)"
,1094,"(11008,11009,11010,11011,)",70,"(10045,10046,10047,10048,)","(434,182,182,5250,)"
,1095,"(11008,11009,11010,11011,)",75,"(10045,10046,10047,10048,)","(465,195,195,5625,)"
,1096,"(11008,11009,11010,11011,)",80,"(10045,10046,10047,10048,)","(496,208,208,6000,)"
,1097,"(11008,11009,11010,11011,)",85,"(10045,10046,10047,10048,)","(527,221,221,6375,)"
,1098,"(11008,11009,11010,11011,)",90,"(10045,10046,10047,10048,)","(558,234,234,6750,)"
,1099,"(11008,11009,11010,11011,)",95,"(10045,10046,10047,10048,)","(589,247,247,7125,)"
,1100,"(11008,11009,11010,11011,)",100,"(10045,10046,10047,10048,)","(620,260,260,7500,)"
,1101,"(11008,11009,11010,11011,)",105,"(10045,10046,10047,10048,)","(651,273,273,7875,)"
,1102,"(11008,11009,11010,11011,)",110,"(10045,10046,10047,10048,)","(682,286,286,8250,)"
,1103,"(11008,11009,11010,11011,)",115,"(10045,10046,10047,10048,)","(713,299,299,8625,)"
,1104,"(11008,11009,11010,11011,)",120,"(10045,10046,10047,10048,)","(744,312,312,9000,)"
,1105,"(11008,11009,11010,11011,)",125,"(10045,10046,10047,10048,)","(775,325,325,9375,)"
,1106,"(11008,11009,11010,11011,)",130,"(10045,10046,10047,10048,)","(806,338,338,9750,)"
,1107,"(11008,11009,11010,11011,)",135,"(10045,10046,10047,10048,)","(837,351,351,10125,)"
,1108,"(11008,11009,11010,11011,)",140,"(10045,10046,10047,10048,)","(868,364,364,10500,)"
,1109,"(11008,11009,11010,11011,)",145,"(10045,10046,10047,10048,)","(899,377,377,10875,)"
,1110,"(11008,11009,11010,11011,)",150,"(10045,10046,10047,10048,)","(930,390,390,11250,)"
,1111,"(11008,11009,11010,11011,)",155,"(10045,10046,10047,10048,)","(961,403,403,11625,)"
,1112,"(11008,11009,11010,11011,)",160,"(10045,10046,10047,10048,)","(992,416,416,12000,)"
,1113,"(11008,11009,11010,11011,)",165,"(10045,10046,10047,10048,)","(1023,429,429,12375,)"
,1114,"(11008,11009,11010,11011,)",170,"(10045,10046,10047,10048,)","(1054,442,442,12750,)"
,1115,"(11008,11009,11010,11011,)",175,"(10045,10046,10047,10048,)","(1085,455,455,13125,)"
,1116,"(11008,11009,11010,11011,)",180,"(10045,10046,10047,10048,)","(1116,468,468,13500,)"
,1117,"(11008,11009,11010,11011,)",185,"(10045,10046,10047,10048,)","(1147,481,481,13875,)"
,1118,"(11008,11009,11010,11011,)",190,"(10045,10046,10047,10048,)","(1178,494,494,14250,)"
,1119,"(11008,11009,11010,11011,)",195,"(10045,10046,10047,10048,)","(1209,507,507,14625,)"
,1120,"(11008,11009,11010,11011,)",200,"(10045,10046,10047,10048,)","(1240,520,520,15000,)"
,1121,"(11012,11013,11014,11015,)",5,"(10045,10046,10047,10048,)","(31,13,13,375,)"
,1122,"(11012,11013,11014,11015,)",10,"(10045,10046,10047,10048,)","(62,26,26,750,)"
,1123,"(11012,11013,11014,11015,)",15,"(10045,10046,10047,10048,)","(93,39,39,1125,)"
,1124,"(11012,11013,11014,11015,)",20,"(10045,10046,10047,10048,)","(124,52,52,1500,)"
,1125,"(11012,11013,11014,11015,)",25,"(10045,10046,10047,10048,)","(155,65,65,1875,)"
,1126,"(11012,11013,11014,11015,)",30,"(10045,10046,10047,10048,)","(186,78,78,2250,)"
,1127,"(11012,11013,11014,11015,)",35,"(10045,10046,10047,10048,)","(217,91,91,2625,)"
,1128,"(11012,11013,11014,11015,)",40,"(10045,10046,10047,10048,)","(248,104,104,3000,)"
,1129,"(11012,11013,11014,11015,)",45,"(10045,10046,10047,10048,)","(279,117,117,3375,)"
,1130,"(11012,11013,11014,11015,)",50,"(10045,10046,10047,10048,)","(310,130,130,3750,)"
,1131,"(11012,11013,11014,11015,)",55,"(10045,10046,10047,10048,)","(341,143,143,4125,)"
,1132,"(11012,11013,11014,11015,)",60,"(10045,10046,10047,10048,)","(372,156,156,4500,)"
,1133,"(11012,11013,11014,11015,)",65,"(10045,10046,10047,10048,)","(403,169,169,4875,)"
,1134,"(11012,11013,11014,11015,)",70,"(10045,10046,10047,10048,)","(434,182,182,5250,)"
,1135,"(11012,11013,11014,11015,)",75,"(10045,10046,10047,10048,)","(465,195,195,5625,)"
,1136,"(11012,11013,11014,11015,)",80,"(10045,10046,10047,10048,)","(496,208,208,6000,)"
,1137,"(11012,11013,11014,11015,)",85,"(10045,10046,10047,10048,)","(527,221,221,6375,)"
,1138,"(11012,11013,11014,11015,)",90,"(10045,10046,10047,10048,)","(558,234,234,6750,)"
,1139,"(11012,11013,11014,11015,)",95,"(10045,10046,10047,10048,)","(589,247,247,7125,)"
,1140,"(11012,11013,11014,11015,)",100,"(10045,10046,10047,10048,)","(620,260,260,7500,)"
,1141,"(11012,11013,11014,11015,)",105,"(10045,10046,10047,10048,)","(651,273,273,7875,)"
,1142,"(11012,11013,11014,11015,)",110,"(10045,10046,10047,10048,)","(682,286,286,8250,)"
,1143,"(11012,11013,11014,11015,)",115,"(10045,10046,10047,10048,)","(713,299,299,8625,)"
,1144,"(11012,11013,11014,11015,)",120,"(10045,10046,10047,10048,)","(744,312,312,9000,)"
,1145,"(11012,11013,11014,11015,)",125,"(10045,10046,10047,10048,)","(775,325,325,9375,)"
,1146,"(11012,11013,11014,11015,)",130,"(10045,10046,10047,10048,)","(806,338,338,9750,)"
,1147,"(11012,11013,11014,11015,)",135,"(10045,10046,10047,10048,)","(837,351,351,10125,)"
,1148,"(11012,11013,11014,11015,)",140,"(10045,10046,10047,10048,)","(868,364,364,10500,)"
,1149,"(11012,11013,11014,11015,)",145,"(10045,10046,10047,10048,)","(899,377,377,10875,)"
,1150,"(11012,11013,11014,11015,)",150,"(10045,10046,10047,10048,)","(930,390,390,11250,)"
,1151,"(11012,11013,11014,11015,)",155,"(10045,10046,10047,10048,)","(961,403,403,11625,)"
,1152,"(11012,11013,11014,11015,)",160,"(10045,10046,10047,10048,)","(992,416,416,12000,)"
,1153,"(11012,11013,11014,11015,)",165,"(10045,10046,10047,10048,)","(1023,429,429,12375,)"
,1154,"(11012,11013,11014,11015,)",170,"(10045,10046,10047,10048,)","(1054,442,442,12750,)"
,1155,"(11012,11013,11014,11015,)",175,"(10045,10046,10047,10048,)","(1085,455,455,13125,)"
,1156,"(11012,11013,11014,11015,)",180,"(10045,10046,10047,10048,)","(1116,468,468,13500,)"
,1157,"(11012,11013,11014,11015,)",185,"(10045,10046,10047,10048,)","(1147,481,481,13875,)"
,1158,"(11012,11013,11014,11015,)",190,"(10045,10046,10047,10048,)","(1178,494,494,14250,)"
,1159,"(11012,11013,11014,11015,)",195,"(10045,10046,10047,10048,)","(1209,507,507,14625,)"
,1160,"(11012,11013,11014,11015,)",200,"(10045,10046,10047,10048,)","(1240,520,520,15000,)"
