交互检查规则,,,,,,,,,,
导出规则,,,,,,,,,,
分类,基础信息,,,,,,,,,
表头,掉落库ID,掉落方式,掉落库类型,掉落道具,掉落固定数量,掉落数量下限制,掉落数量上限,掉落权重,,
官品6,83,3,1,"(31026,12086,)","(24400,1,)",,,,,
官品7,84,3,1,"(31026,12086,)","(28500,2,)",,,,,
官品8,85,3,1,"(31026,12086,)","(32600,2,)",,,,,
官品9,86,3,1,"(31026,12086,)","(36600,2,)",,,,,
官品10,87,3,1,"(31026,12086,)","(44800,2,)",,,,,
官品11,88,3,1,"(31026,12086,)","(48900,2,)",,,,,
官品12,89,3,1,"(31026,12086,)","(52900,2,)",,,,,
官品13,90,3,1,"(31026,12086,)","(57000,3,)",,,,,
官品14,91,3,1,"(31026,12086,)","(61100,3,)",,,,,
官品15,92,3,1,"(31026,12086,)","(65100,3,)",,,,,
官品16,93,3,1,"(31026,12086,)","(69200,3,)",,,,,
官品17,94,3,1,"(31026,12086,)","(73300,4,)",,,,,
官品18,95,3,1,"(31026,12086,)","(77400,5,)",,,,,
官品19,96,3,1,"(31026,12086,)","(81400,6,)",,,,,
,98,3,1,"(12000,12006,999,10000,)","(9,13,105,3000,)",,,,,
任务,99,3,1,"(12000,12006,999,)","(9,13,201,)",,,,,
,100,3,1,"(12000,12006,999,10000,40028,)","(6,8,100,3000,80,)",,,,,
普通副本掉落,101,3,1,"(12000,12006,12004,)","(6,8,6,)",,,,,
普通材料1,102,3,1,"(12016,)","(4,)",,,,,
普通材料1,103,3,1,"(12017,)","(4,)",,,,,
普通材料1,104,3,1,"(12018,)","(4,)",,,,,
普通材料1,105,3,1,"(12019,)","(4,)",,,,,
普通材料1,106,3,1,"(12020,)","(4,)",,,,,
普通材料1,107,3,1,"(12021,)","(4,)",,,,,
普通材料1,108,3,1,"(12022,)","(4,)",,,,,
普通材料1,109,3,1,"(12023,)","(4,)",,,,,
普通材料1,110,3,1,"(12024,)","(4,)",,,,,
普通材料1,111,3,1,"(12025,)","(4,)",,,,,
普通材料2,112,3,1,"(12026,)","(4,)",,,,,
普通材料2,113,3,1,"(12027,)","(4,)",,,,,
普通材料2,114,3,1,"(12028,)","(4,)",,,,,
普通材料2,115,3,1,"(12029,)","(4,)",,,,,
普通材料2,116,3,1,"(12030,)","(4,)",,,,,
普通材料2,117,3,1,"(12031,)","(4,)",,,,,
普通材料2,118,3,1,"(12032,)","(4,)",,,,,
普通材料2,119,3,1,"(12033,)","(4,)",,,,,
普通材料2,120,3,1,"(12034,)","(4,)",,,,,
普通材料2,121,3,1,"(12035,)","(4,)",,,,,
普通材料3,122,3,1,"(12036,)","(4,)",,,,,
普通材料3,123,3,1,"(12037,)","(4,)",,,,,
普通材料3,124,3,1,"(12038,)","(4,)",,,,,
普通材料3,125,3,1,"(12039,)","(4,)",,,,,
普通材料3,126,3,1,"(12040,)","(4,)",,,,,
普通材料3,127,3,1,"(12041,)","(4,)",,,,,
普通材料3,128,3,1,"(12042,)","(4,)",,,,,
普通材料3,129,3,1,"(12043,)","(4,)",,,,,
普通材料3,130,3,1,"(12044,)","(4,)",,,,,
普通材料3,131,3,1,"(12045,)","(4,)",,,,,
普通材料4,132,3,1,"(12046,)","(4,)",,,,,
普通材料4,133,3,1,"(12047,)","(4,)",,,,,
普通材料4,134,3,1,"(12048,)","(4,)",,,,,
普通材料4,135,3,1,"(12049,)","(4,)",,,,,
普通材料4,136,3,1,"(12050,)","(4,)",,,,,
普通材料4,137,3,1,"(12051,)","(4,)",,,,,
普通材料4,138,3,1,"(12052,)","(4,)",,,,,
普通材料4,139,3,1,"(12053,)","(4,)",,,,,
普通材料4,140,3,1,"(12054,)","(4,)",,,,,
普通材料4,141,3,1,"(12055,)","(4,)",,,,,
普通材料4,142,3,1,"(10000,)","(1,)",,,,,
首充奖励,200,3,2,"(40017,)","(1,)",,,,,
首充奖励,201,3,1,"(12017,12000,)","(6,6,)",,,,,
张碧君,301,3,1,"(40028,)","(1,)",,,"(6310,)",,
玄机散人,302,3,1,"(40017,)","(1,)",,,"(6310,)",,
逍遥,303,3,1,"(40016,)","(1,)",,,"(6310,)",,
穆云梳,304,3,1,"(40015,)","(1,)",,,"(6310,)",,
武照,305,3,1,"(40014,)","(1,)",,,"(6310,)",,
胡不归,306,3,1,"(40013,)","(1,)",,,"(6310,)",,
窦夫人,307,3,1,"(40012,)","(1,)",,,"(6310,)",,
姬重华,308,3,1,"(40006,)","(1,)",,,"(6310,)",,
公子尘来,309,3,1,"(40010,)","(1,)",,,"(6310,)",,
张碧君,311,1,1,"(40028,)",,"(1,)","(1,)","(3000,)",,
玄机散人,312,1,1,"(40017,)",,"(1,)","(1,)","(3000,)",,
逍遥,313,1,1,"(40016,)",,"(1,)","(1,)","(3000,)",,
穆云梳,314,1,1,"(40015,)",,"(1,)","(1,)","(3000,)",,
武照,315,1,1,"(40014,)",,"(1,)","(1,)","(3000,)",,
胡不归,316,1,1,"(40013,)",,"(1,)","(1,)","(3000,)",,
窦夫人,317,1,1,"(40012,)",,"(1,)","(1,)","(3000,)",,
姬重华,318,1,1,"(40006,)",,"(1,)","(1,)","(3000,)",,
公子尘来,319,1,1,"(40010,)",,"(1,)","(1,)","(3000,)",,
爬塔宝箱1,401,3,1,"(12059,11104,)","(10,1,)",,,,,
爬塔宝箱2,402,3,1,"(12059,11105,)","(14,1,)",,,,,
爬塔宝箱3,403,3,1,"(12059,11106,)","(20,1,)",,,,,
爬塔宝箱4,404,3,1,"(12059,11107,)","(28,1,)",,,,,
爬塔宝箱5,405,3,1,"(12059,11108,)","(38,1,)",,,,,
爬塔宝箱6,406,3,1,"(12059,11109,)","(50,1,)",,,,,
爬塔宝箱7,407,3,1,"(12059,11110,)","(64,1,)",,,,,
爬塔宝箱8,408,3,1,"(12059,11111,)","(80,1,)",,,,,
爬塔宝箱9,409,3,1,"(12059,11112,)","(98,1,)",,,,,
爬塔宝箱10,410,3,1,"(12059,11113,)","(118,1,)",,,,,
爬塔宝箱11,411,3,1,"(12059,11114,)","(140,1,)",,,,,
爬塔宝箱12,412,3,1,"(12059,11115,)","(164,1,)",,,,,
爬塔宝箱13,413,3,1,"(12059,11112,)","(190,1,)",,,,,
爬塔宝箱14,414,3,1,"(12059,11113,)","(218,1,)",,,,,
爬塔宝箱15,415,3,1,"(12059,11114,)","(248,1,)",,,,,
爬塔宝箱16,416,3,1,"(12059,11115,)","(280,1,)",,,,,
爬塔宝箱17,417,3,1,"(12059,11116,)","(314,1,)",,,,,
爬塔宝箱18,418,3,1,"(12059,11117,)","(350,1,)",,,,,
爬塔宝箱19,419,3,1,"(12059,11118,)","(388,1,)",,,,,
爬塔宝箱20,420,3,1,"(12059,11119,)","(428,1,)",,,,,
爬塔宝箱21,421,3,1,"(12059,11120,)","(470,1,)",,,,,
爬塔宝箱22,422,3,1,"(12059,11121,)","(514,1,)",,,,,
爬塔宝箱23,423,3,1,"(12059,11122,)","(560,1,)",,,,,
爬塔宝箱24,424,3,1,"(12059,11123,)","(608,1,)",,,,,
爬塔宝箱25,425,3,1,"(12059,11116,)","(658,1,)",,,,,
爬塔宝箱26,426,3,1,"(12059,11117,)","(710,1,)",,,,,
爬塔宝箱27,427,3,1,"(12059,11118,)","(764,1,)",,,,,
爬塔宝箱28,428,3,1,"(12059,11119,)","(820,1,)",,,,,
爬塔宝箱29,429,3,1,"(12059,11120,)","(878,2,)",,,,,
爬塔宝箱30,430,3,1,"(12059,11121,)","(938,2,)",,,,,
爬塔宝箱31,431,3,1,"(12059,11122,)","(1000,2,)",,,,,
爬塔宝箱32,432,3,1,"(12059,11123,)","(1064,2,)",,,,,
爬塔宝箱33,433,3,1,"(12059,11116,)","(1130,2,)",,,,,
爬塔宝箱34,434,3,1,"(12059,11117,)","(1198,2,)",,,,,
爬塔宝箱35,435,3,1,"(12059,11118,)","(1268,2,)",,,,,
爬塔宝箱36,436,3,1,"(12059,11119,)","(1340,2,)",,,,,
爬塔宝箱37,437,3,1,"(12059,11120,)","(1414,2,)",,,,,
爬塔宝箱38,438,3,1,"(12059,11121,)","(1490,2,)",,,,,
爬塔宝箱39,439,3,1,"(12059,11122,)","(1568,2,)",,,,,
爬塔宝箱40,440,3,1,"(12059,11123,)","(1648,2,)",,,,,
成就奖励,500,3,1,"(10001,)","(100,)",,,,,
膜拜掉落,600,3,1,"(10000,)","(2000,)",,,,,
VIP2头像,610,3,1,"(50000,)","(1,)",,,,,
VIP6头像,611,3,1,"(50001,)","(1,)",,,,,
VIP12头像,612,3,1,"(50002,)","(1,)",,,,,
活跃宝箱,701,3,1,"(10000,12004,10008,)","(520,16,50,)",,,,,
,702,3,1,"(10000,12004,10001,)","(1314,30,50,)",,,,,
,703,3,1,"(10000,12003,10008,)","(1500,2,150,)",,,,,
,704,3,1,"(10000,12004,10001,)","(6666,100,100,)",,,,,
,705,3,1,"(10000,12003,10015,)","(6666,4,1,)",,,,,
活跃周宝箱,706,3,1,"(10001,)","(350,)",,,,,
,707,3,1,"(10019,)","(1,)",,,,,
3级宝石随机,708,1,1,"(26003,26013,26023,26033,26043,26053,)",,"(1,1,1,1,1,1,)","(1,1,1,1,1,1,)","(1666,1666,1666,1666,1666,1670,)",,
,501,3,1,"(12006,12016,12026,12036,12046,)","(1,1,1,1,1,)",,,,,
,502,3,1,"(12007,12017,12027,12037,12047,)","(1,1,1,1,1,)",,,,,
,503,3,1,"(12008,12018,12028,12038,12048,)","(1,1,1,1,1,)",,,,,
,504,3,1,"(12009,12019,12029,12039,12049,)","(1,1,1,1,1,)",,,,,
,505,3,1,"(12010,12020,12030,12040,12050,)","(1,1,1,1,1,)",,,,,
,506,3,1,"(12011,12021,12031,12041,12051,)","(1,1,1,1,1,)",,,,,
,507,3,1,"(12012,12022,12032,12042,12052,)","(1,1,1,1,1,)",,,,,
,508,3,1,"(12013,12023,12033,12043,12053,)","(1,1,1,1,1,)",,,,,
,509,3,1,"(12014,12024,12034,12044,12054,)","(1,1,1,1,1,)",,,,,
,510,3,1,"(12015,12025,12035,12045,12055,)","(1,1,1,1,1,)",,,,,
假战斗,511,3,1,"(12084,999,)","(1,50,)",,,,,
剧情战斗奖励,709,3,1,"(999,10000,12006,12016,12026,12036,12046,)","(100,2000,1,1,1,1,1,)",,,,,
,710,3,1,"(12000,12004,12006,)","(10,300,200,)",,,,,
,711,3,1,"(12000,12004,10000,)","(15,600,20000,)",,,,,
,712,3,1,"(12000,12004,12084,)","(20,900,1)",,,,,
装备精炼礼包,713,3,1,"(12006,12016,12026,12036,12046,)","(520,9,9,9,9,)",,,,,
阵法精华,714,3,1,"(31026,)","(500,)",,,,,
护符+ 护符经验,715,3,1,"(11104,12059,)","(1,2,)",,,,,
时装礼包,716,3,1,"(29000,29001,29002,29004,29005,29006,)","(1,1,1,1,1,1,)",,,,,
悬赏特殊物品,717,3,1,"(10000,)","(5500,)",,,,,
,718,3,1,"(12000,)","(6,)",,,,,
武将,800,3,1,"(40028,)","(80,)",,,,,
,801,3,1,"(40016,)","(80,)",,,,,
,802,3,1,"(40014,)","(80,)",,,,,
副本宝箱,803,3,1,"(10000,12001,12004,)","(4000,8,300,)",,,,,
,804,3,1,"(10000,12004,12084,)","(6000,600,1)",,,,,
,805,3,1,"(10000,12004,12084,)","(10000,900,1,)",,,,,
,806,3,1,"(10001,12004,)","(88,3,)",,,,,
官场俸禄,807,3,1,"(10007,31026,)","(2000,3600,)",,,,,
,808,3,1,"(10007,31026,)","(2300,3700,)",,,,,
,809,3,1,"(10007,31026,)","(2750,3900,)",,,,,
,810,3,1,"(10007,31026,)","(3350,4000,)",,,,,
,811,3,1,"(10007,31026,)","(4100,4100,)",,,,,
,812,3,1,"(10007,31026,)","(5000,4300,)",,,,,
,813,3,1,"(10007,31026,)","(6050,4400,)",,,,,
,814,3,1,"(10007,31026,)","(7250,4600,)",,,,,
,815,3,1,"(10007,31026,)","(8600,4700,)",,,,,
,816,3,1,"(10007,31026,)","(10100,4800,)",,,,,
,817,3,1,"(10007,31026,)","(11750,5000,)",,,,,
,818,3,1,"(10007,31026,)","(13550,5100,)",,,,,
,819,3,1,"(10007,31026,)","(15500,5200,)",,,,,
,820,3,1,"(10007,31026,)","(17600,5400,)",,,,,
,821,3,1,"(10007,31026,)","(19850,5600,)",,,,,
,822,3,1,"(10007,31026,)","(22250,5900,)",,,,,
,823,3,1,"(10007,31026,)","(24800,6200,)",,,,,
,824,3,1,"(10007,31026,)","(27500,6400,)",,,,,
,825,3,1,"(10007,31026,)","(30350,6700,)",,,,,
礼包,826,1,1,"(11120,11121,11122,11123,)",,"(1,1,1,1,)","(1,1,1,1,)","(2500,2500,2500,2500,)",,
,827,1,1,"(11250,11248,11234,11235,)",,"(1,1,1,1,)","(1,1,1,1,)","(2500,2500,2500,2500,)",,
,828,1,1,"(11236,11237,11238,11239,)",,"(1,1,1,1,)","(1,1,1,1,)","(2500,2500,2500,2500,)",,
,829,1,1,"(11231,11232,11228,)",,"(1,1,1,)","(1,1,1,)","(3400,3300,3300,)",,
,830,3,1,"(40013,)","(80,)",,,,,
,831,3,1,"(40012,)","(80,)",,,,,
,832,3,1,"(40009,)","(80,)",,,,,
,833,3,1,"(12002,10000,)","(8,100,)",,,,,
,834,3,1,"(10000,12004,12084,40028,)","(10000,900,1,80,)",,,,,
,835,3,1,"(10000,12004,12084,40016,)","(10000,900,1,80,)",,,,,
,836,3,1,"(10000,12004,12084,40014,)","(10000,900,1,80,)",,,,,
Q群礼包,837,3,1,"(12084,10000,10009,10001,12000,10015,)","(2,30000,50000,200,20,2,)",,,,,
豪华礼包,838,3,1,"(12084,10000,10009,10001,12002,10015,)","(15,100000,150000,500,20,5,)",,,,,
宠物抽取,839,1,1,"(70001,70003,)",,"(1,)","(1,)","(25,)",,
,840,1,1,"(70001,)",,"(1,)","(1,)","(25,)",,
,841,1,1,"(70003,)",,"(1,)","(1,)","(25,)",,
活跃度经验值,842,3,1,"(999,)","(1100,)",,,,,
,843,3,1,"(999,)","(1100,)",,,,,
,844,3,1,"(999,)","(1100,)",,,,,
,845,3,1,"(999,)","(1000,)",,,,,
,846,3,1,"(999,)","(1000,)",,,,,
,847,3,1,"(999,)","(300,)",,,,,
,848,3,1,"(999,)","(650,)",,,,,
,849,3,1,"(999,)","(300,)",,,,,
,850,3,1,"(999,)","(1000,)",,,,,
,851,3,1,"(999,)","(650,)",,,,,
,852,3,1,"(999,)","(300,)",,,,,
,853,3,1,"(999,)","(300,)",,,,,
,854,3,1,"(999,)","(650,)",,,,,
,855,3,1,"(999,)","(300,)",,,,,
,856,3,1,"(999,)","(300,)",,,,,
,857,3,1,"(999,)","(800,)",,,,,
,858,3,1,"(999,)","(800,)",,,,,
,859,3,1,"(999,)","(300,)",,,,,
