交互检查规则,,,,,,,,,,,,
导出规则,,,,,,,,,,,,
分类,,,,,,,,,,,,
表头,编号,对话内容,对话人物,对话人物名称,正在说话人物,下个对话,人物站位,位置偏移值,配音ID,场景,是否震屏 0）否 1）是,镜头初始位置（镜头中心点）
,46,你这小子，看什么看！\n鬼鬼祟祟，一看就不是什么好人！,"(40033,)",枫山守卫,40033,,"(2,)","(-356,)",10000,1101,,
,47,尔等大摇大摆擅入皇家别苑，何等猖狂！\n看招！,"(40033,)",枫山守卫,40033,,"(2,)","(-356,)",10000,1101,,
,48,有谁能来救救我！\n这位公子，你、你能帮帮我吗……,"(40009,)",柔弱女子,40009,,"(2,)","(-309,)",10000,1102,,
,49,初鹤，她到底去了哪儿……\n我、我该怎么办……,"(40009,)",柔弱女子,40009,,"(2,)","(-309,)",10000,1102,,
,50,公子很怕殿下吗？呵呵。\n别看公主这么凶的样子，其实呢……她是个很温柔的人哦。,"(40009,)",霍曼曼,40009,,"(2,)","(-309,)",10000,1102,,
,51,重华殿下刀子嘴豆腐心，凶也只是一时的。\n公子再等一等，便能看到殿下气消的样子啦。,"(40009,)",霍曼曼,40009,,"(2,)","(-309,)",10000,1102,,
,52,思君如满月，日日减清辉……,"(40017,)",烛影,40017,,,,,1104,,
,53,国师大人真是喜怒无常呢……,"(40009,)",云华,40009,"(54,)","(2,)","(-309,)",10000,1104,,
,54,你问我……嘻嘻……不能告诉你……,"(40009,)",云华,40009,,"(2,)","(-309,)",10000,1104,,
,55,我什么都没看见……我什么都没看见……大人放过我我真的什么都没有看见！,"(40013,)",霜轻,40013,,"(2,)","(-309,)",10000,1104,,
,56,殿下距离弱冠，还有半年……,"(40013,)",长琴,40013,,"(2,)","(-309,)",10000,1103,,
,57,……何事？,"(40014,)",贪狼,40014,"(58,)","(2,)","(-356,)",,1103,,
,58,……这位大人，请问下近日宫中可有何奇闻怪事？,"(40014,)",玩家,-1,"(59,)","(2,)","(-356,)",,1103,,
,59,国师大人近日来突然下令让一位学士不得上职。,"(40014,)",贪狼,40014,"(60,)","(2,)","(-356,)",,1103,,
,60,这算什么奇闻怪事？,"(40014,)",玩家,-1,"(61,)","(2,)","(-356,)",,1103,,
,61,知道太多的，容易……你走开！和你说的已经太多了！,"(40014,)",贪狼,40014,,"(2,)","(-356,)",,1103,,
,62,天空真蓝啊……,"(40023,)",妄士,40023,"(63,)","(2,)","(-356,)",,1102,,
,63,现在明明是晚上了……,"(40023,)",玩家,-1,"(64,)","(2,)","(-356,)",,1102,,
,64,你胡说什么呢……天明明是蓝的呀……空气都是甜的呢！,"(40023,)",妄士,40023,"(65,)","(2,)","(-356,)",,1102,,
,65,（这人疯了吧？……）,"(40023,)",玩家,-1,,"(2,)","(-356,)",,1102,,
,66,听说这来去寺的香火格外灵验！,"(40015,)",王氏,40015,"(67,)","(2,)","(-309,)",,1102,,
,67,我邻居家二姑的小姨子的表妹的孩子就是来这里上香后才有孕的！,"(40015,)",王氏,40015,,"(2,)","(-309,)",,1102,,
,68,要论歌喉，这些都是庸脂俗粉……,"(40016,)",逍遥,40016,"(69,)","(2,)","(-356,)",,1105,,
,69,三年前，这临江楼中出了一名大家，名唤‘莺莺’，那歌声才叫绕梁三日……,"(40016,)",逍遥,40016,,"(2,)","(-356,)",,1105,,
,70,琼林宴？不就是一群文人才子的家伙凑热闹么？,"(40006,)",重华,40006,,"(2,)","(-309,)",,1105,,
,71,听说今日杜少陵也来了，不知是否有幸能一睹其人。,"(40009,)",古韵,40009,,"(2,)","(-309,)",,1105,,
,72,听闻李青莲乃是江湖第一剑客，如果有机会的话十分想和他切磋一下呢！,"(40016,)",游侠,40016,,"(2,)","(-356,)",,,,
,73,你想和我切磋武功？,"(40026,)",杜浪,40026,,"(2,)","(-356,)",,,,
,74,文无第一，武无第二……\n动手非君子所为，大侠还请手下留情——,"(40028,)",张碧君,40028,,"(2,)","(-356,)",,,,
,75,人心若是能看穿，世上哪来这么多悲剧呢？,"(40015,)",穆云梳,40015,,"(2,)","(-309,)",,,,
,76,不知道兰生在那里如何了……,"(40016,)",逍遥,40016,,"(2,)","(-356,)",,,,
,77,世上愚昧者众多，你是否是其中之一？,"(40017,)",玄机散人,40017,,"(2,)","(-356,)",,,,
,78,君问归期未有期，巴山夜雨涨秋池。,"(40009,)",霍曼曼,40009,,"(2,)","(-309,)",,,,
,79,……,"(40010,)",公子尘来,40010,,"(2,)","(-356,)",,,,
,80,靠山山倒，靠水水涸，女人啊……到底还是要靠自己。,"(40012,)",窦夫人,40012,,"(2,)","(-309,)",,,,
,81,式微，式微，胡不归？,"(40013,)",胡不归,40013,,"(2,)","(-309,)",,,,
,82,武者，当勤修不缀，持之以恒，方能大成。,"(40014,)",武照,40014,,"(2,)","(-356,)",,,,
,83,朝飞暮卷，云霞翠轩。雨丝风片，烟波画船，锦屏人忒看这韶光贱！,"(40006,)",姬重华,40016,,"(2,)","(-309,)",,,,
,84,,,,,,,,,,,
,85,,,,,,,,,,,
,86,,,,,,,,,,,
,87,,,,,,,,,,,
,88,,,,,,,,,,,
,89,,,,,,,,,,,
,90,,,,,,,,,,,
,91,,,,,,,,,,,
,92,,,,,,,,,,,
,93,,,,,,,,,,,
,94,,,,,,,,,,,
,95,,,,,,,,,,,
第一章·次回,96,,,,,,,,,,,
,97,,,,,,,,,,,
,98,,,,,,,,,,,
,99,,,,,,,,,,,
,100,,,,,,,,,,,
,101,,,,,,,,,,,
,102,,,,,,,,,,,
,103,,,,,,,,,,,
,104,,,,,,,,,,,
,105,,,,,,,,,,,
,106,,,,,,,,,,,
,107,,,,,,,,,,,
,108,,,,,,,,,,,
,109,,,,,,,,,,,
,110,,,,,,,,,,,
,111,,,,,,,,,,,
,112,,,,,,,,,,,
,113,,,,,,,,,,,
,114,,,,,,,,,,,
,115,,,,,,,,,,,
,116,,,,,,,,,,,
,117,,,,,,,,,,,
,118,,,,,,,,,,,
,119,,,,,,,,,,,
,120,,,,,,,,,,,
,121,,,,,,,,,,,
,122,,,,,,,,,,,
,123,,,,,,,,,,,
,124,,,,,,,,,,,
,125,,,,,,,,,,,
,126,,,,,,,,,,,
,127,,,,,,,,,,,
,128,,,,,,,,,,,
,129,,,,,,,,,,,
,130,,,,,,,,,,,
,131,,,,,,,,,,,
,132,,,,,,,,,,,
,133,,,,,,,,,,,
,134,,,,,,,,,,,
,135,,,,,,,,,,,
,136,,,,,,,,,,,
,137,,,,,,,,,,,
,138,,,,,,,,,,,
,139,,,,,,,,,,,
,140,,,,,,,,,,,
,141,,,,,,,,,,,
,142,,,,,,,,,,,
,143,,,,,,,,,,,
,144,,,,,,,,,,,
,145,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
