交互检查规则,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,
表头,编号,对话内容,对话人物,对话人物名称,正在说话任务,下个对话,人物站位,位置偏移值,配音ID,屏幕坐标,介绍,场景,特殊,,断章对话
1-2(5)-柳氏,46,见过太太。,"(40018,)",玩家,-1,"(47,)","(2,)","(-309,)",,2,,1001,,,
,47,大小姐，您终于回来了！\n……妾身好委屈！,"(40018,)",柳氏,40018,"(48,)","(2,)","(-309,)",,2,20000,1001,,,
,48,太太莫哭了。,"(40018,)",玩家,-1,"(49,)","(2,)","(-309,)",,2,,1001,,,
,49,我不知该如何对大小姐说才好……,"(40018,)",柳氏,40018,"(50,)","(2,)","(-309,)",,2,,1001,,,
,50,大小姐如此信任与我，将家中一切事物尽数交给我。\n没想到老爷……老爷……,"(40018,)",柳氏,40018,"(51,)","(2,)","(-309,)",,2,,1001,,,
,51,柳氏哭得讲不出话来。,"(40018,)",旁白,0,"(52,)","(2,)","(-309,)",,2,,1001,,,
,52,太太别太过伤心了，您保重身体，二小姐和大少爷还指望着您呢！,"(40019,40018,)",春雨,40019,"(53,)","(1,3,)","(-309,-309,)",,2,,1001,,,
,53,正是，太太还要顾惜好自己才是。,"(40019,40018,)",玩家,-1,"(54,)","(1,3,)","(-309,-309,)",,2,,1001,,,
,54,可是……可是……,"(40019,40018,)",柳氏,40018,"(55,)","(1,3,)","(-309,-309,)",,2,,1001,,,
,55,柳氏又哭了起来。,"(40019,40018,)",旁白,0,"(56,)","(1,3,)","(-309,-309,)",,2,,1001,,,
,56,那我便先告退了。,"(40019,)",玩家,-1,"(57,)","(2,)","(-309,)",,2,,1001,,,
,57,大小姐，我送您。,"(40019,)",春雨,40019,,"(2,)","(-309,)",,2,,1001,,,"(58,)"
1-3(6)-春雨,58,好好照顾夫人，太太今日哭得有些伤心。\n你拿着我的帖子，去请一位太医来给太太看一看。\n对了，我二妹呢？,"(40019,)",玩家,-1,"(59,)","(2,)","(-309,)",,1,,1001,,,
,59,回大小姐的话，二小姐现在暂居于外家。\n现在太医见我们府都避如蛇蝎，哪还请得到什么太医。,"(40019,)",春雨,40019,"(60,)","(2,)","(-309,)",,1,,1001,,,
,60,那就去请城中最有名的大夫，没有他李家厨子难道就不能吃饭了？,"(40019,)",玩家,-1,"(61,)","(2,)","(-309,)",,1,,1001,,,
,61,是！奴婢这就去。,"(40019,)",春雨,40019,,"(2,)","(-309,)",,1,,1001,,,"(62,)"
1-4(7)-石块,62,园子里到处都是破败的景象，我看着有些不悦。,,旁白,0,"(63,)",,,,3,,,"(10004,10006,)",,
,63,我爹曾经说过，家族的衰败从家宅的打理就可看出一二。,,旁白,0,"(64,)",,,,3,,,,,
,64,负责此处仆妇可在？,,玩家,-1,"(65,)",,,,3,,,,,
,65,奴婢秋花，正是负责此处的二等丫头。,"(5008,)",秋花,5008,"(66,)","(2,)","(-309,)",,3,,,,,
,66,将院子打扫干净些吧，灰蒙蒙看着不太爽利。,"(5008,)",玩家,-1,"(67,)","(2,)","(-309,)",,3,,,,,
,67,大小姐，我瞅您呐就是多事！\n连夫人都不曾说我这院子打扫得不干净……\n怎生您一回来就说这院子里灰蒙蒙的呢？,"(5008,)",秋花,5008,"(68,)","(2,)","(-309,)",,3,,,,,
,68,放肆。,"(5008,)",玩家,-1,,"(2,)","(-309,)",,3,,,,,"(69,)"
1-5(8)-石块,69,小姐！小姐！——,"(40021,)",青湖,40021,"(70,)","(2,)","(-309,)",,2,,1001,,,
,70,青湖？,"(40021,)",玩家,-1,"(71,)","(2,)","(-309,)",,2,,1001,,,
,71,小姐，您终于回来了！,"(40021,)",青湖,40021,"(72,)","(2,)","(-309,)",,2,10021,1001,,,
,72,嗯，我回来了。,"(40021,)",玩家,-1,"(73,)","(2,)","(-309,)",,2,,1001,,,
,73,您刚从太太那儿来吗？太太又是哭晕过去了？,"(40021,)",青湖,40021,"(74,)","(2,)","(-309,)",,2,,1001,,,
,74,怎么？她经常如此吗？,"(40021,)",玩家,-1,"(75,)","(2,)","(-309,)",,2,,1001,,,
,75,都是老套路了，这些年来寻医吃药不知道花了多少银子，也没见个好。,"(40021,)",青湖,40021,"(76,)","(2,)","(-309,)",,2,,1001,,,
,76,不准这么说太太。,"(40021,)",玩家,-1,"(77,)","(2,)","(-309,)",,2,,1001,,,
,77,……是！,"(40021,)",青湖,40021,"(78,)","(2,)","(-309,)",,2,,1001,,,
,78,先说说我爹是怎么回事？,"(40021,)",玩家,-1,"(79,)","(2,)","(-309,)",,2,,1001,,,
,79,我收到太太的信件说我爹参与了杭州受贿案导致钱塘江决堤——我爹不是干这种蠢事的人。,"(40021,)",玩家,-1,"(80,)","(2,)","(-309,)",,2,,1001,,,
,80,奴婢也说不清楚，突然就把老爷给抓进去了，却没封府，奇怪得很。,"(40021,)",青湖,40021,"(81,)","(2,)","(-309,)",,2,,1001,,,
,81,……此事不急，待我探查一番再说。,"(40021,)",玩家,-1,"(82,)","(2,)","(-309,)",,2,,1001,,,
,82,家中出了如此大事，大少爷呢？回来了吗？,"(40021,)",玩家,-1,"(83,)","(2,)","(-309,)",,2,,1001,,,
,83,没有，只有您回来了……\n二小姐被太太送去了外家，大少爷还在书院中不曾回来。,"(40021,)",青湖,40021,"(84,)","(2,)","(-309,)",,2,,1001,,,
,84,此事做得不错。,"(40021,)",玩家,-1,"(85,)","(2,)","(-309,)",,2,,1001,,,
,85,若是此劫难过，且暮不回便是正好。,"(40021,)",玩家,-1,"(86,)","(2,)","(-309,)",,2,,1001,,,
,86,大小姐？您说什么呢？,"(40021,)",青湖,40021,"(87,)","(2,)","(-309,)",,2,,1001,,,
,87,没什么。,"(40021,)",玩家,-1,"(88,)","(2,)","(-309,)",,2,,1001,,,
,88,太太，大小姐走了！,"(40019,)",春雨,40019,"(89,)","(1,)","(-309,)",,1,,1001,,,
,89,哎，真是令人操心。,"(40019,40018,)",柳氏,40018,"(90,)","(1,3,)","(-309,-309,)",,1,,1001,,,
,90,春雨，你一会儿就拿我的帖子去，找那寻家来。,"(40019,40018,)",柳氏,40018,"(91,)","(1,3,)","(-309,-309,)",,1,,1001,,,
,91,太太，我们这样是不是不太好？,"(40019,40018,)",春雨,40019,"(92,)","(1,3,)","(-309,-309,)",,1,,1001,,,
,92,事已至此，把她嫁出去是最好的选择了。,"(40019,40018,)",柳氏,40018,"(93,)","(1,3,)","(-309,-309,)",,1,,1001,,,
,93,老爷不会怪我的，我也是为了我们的女儿。,"(40019,40018,)",柳氏,40018,"(94,)","(1,3,)","(-309,-309,)",,1,,1001,,,
,94,……是。,"(40019,40018,)",春雨,40019,,"(1,3,)","(-309,-309,)",,1,,1001,,,"(95,)"
1-6(9)-石块,95,小姐，近日因为老爷的事，府中可乱了……,"(40021,)",青湖,40021,"(96,)","(2,)","(-309,)",,1,,1001,,,
,96,噤声！,"(40021,)",玩家,-1,"(97,)","(2,)","(-309,)",,1,,1001,,,
,97,不远处有两人行踪诡秘，窃窃私语。,,旁白,0,"(98,)",,,,3,,1001,,,
,98,你快去把寻家的太太给请过来，就说我们大小姐回来了。,"(40019,)",春雨,40019,"(99,)","(1,)","(-309,)",,3,,,,,
,99,刚刚看大小姐也是个厉害的，我们这么做，大小姐会不会……,"(40019,40033,)",甲小乙,40033,"(100,)","(1,3,)","(-309,-356,)",,3,,,,,
,100,闭嘴，办事去！太太沉舟破釜才寻得的机会，岂容你这奴才嚼舌！此次若是不能把大小姐嫁给寻家，老爷的牢狱之苦就白受了！,"(40019,40033,)",春雨,40019,"(101,)","(1,3,)","(-309,-356,)",,3,,,,,
,101,这！！！你们这群人在说什么呢！,"(40021,)",青湖,40021,"(102,)","(2,)","(-309,)",,2,,,,进入战斗,
,102,行了行了，青湖。你去找个小丫头盯着前面，看看到底是什么事儿。这里我来解决。,"(40021,)",玩家,-1,"(103,)","(2,)","(-309,)",,2,,,,,
,103,是，小姐，我这就去。,"(40021,)",青湖,40021,,"(2,)","(-309,)",,2,,,,,"(104,)"
,104,小姐——人走啦——,"(40021,)",青湖,40021,"(105,)","(2,)","(-309,)",,2,,1001,,,
1-7-(10)-青湖,105,小姐！大事不好啦！太太寻这寻家太太是来谈亲事的！,"(40021,)",青湖,40021,"(106,)","(2,)","(-309,)",,2,,1001,,,
,106,亲事？谁的亲事？——,"(40021,)",玩家,-1,"(107,108,)","(2,)","(-309,)",,2,,1001,,,
,107,是二小姐的？,"(40021,)",玩家,-1,"(109,)","(2,)","(-309,)",,2,,,,,
,108,是大少爷的？,"(40021,)",玩家,-1,"(109,)","(2,)","(-309,)",,2,,,,,
,109,当然是您的！,"(40021,)",青湖,40021,"(110,)","(2,)","(-309,)",,2,,,,,
,110,我的？怎么会？府中遭此大难，就太太的性子，再如何也该将自己的儿女推出火坑才是。,"(40021,)",玩家,-1,"(111,)","(2,)","(-309,)",,2,,1001,,,
,111,慢慢说，不急。,"(40021,)",玩家,-1,"(112,)","(2,)","(-309,)",,2,,1001,,,
,112,小姐，太太实在是太气人！不过是个七品县令之家！\n太太还说要在七天内完婚，这简直……太可气了！,"(40021,)",青湖,40021,"(113,)","(2,)","(-309,)",,2,,1001,,,
,113,太太是不是与寻太太说我府正当大难，唯有将我嫁出才能避此一难？\n而那寻太太虽面有难色，却依然点头相应？,"(40021,)",玩家,-1,"(114,)","(2,)","(-309,)",,2,,1001,,,
,114,小姐你怎么知道的？,"(40021,)",青湖,40021,"(115,)","(2,)","(-309,)",,2,,1001,,,
,115,我依稀记得我母亲曾有一闺中密友，仿佛就是嫁给了一户姓寻的人家。,"(40021,)",玩家,-1,"(116,)","(2,)","(-309,)",,2,,1001,,,
,116,青湖张口结舌。,"(40021,)",旁白,0,"(117,)","(2,)","(-309,)",,2,,1001,,,
,117,这……这……这寻家太太还是来做好事的不成？,"(40021,)",青湖,40021,"(118,)","(2,)","(-309,)",,2,,1001,,,
,118,可不是。,"(40021,)",玩家,-1,"(119,)","(2,)","(-309,)",,2,,1001,,,
,119,让我来猜一猜……,"(40021,)",玩家,-1,"(120,)","(2,)","(-309,)",,2,,1001,,,
,120,父亲牢狱之灾，太太破釜沉舟……\n就是为了在七天内把我嫁出去？,"(1000,)",玩家,-1,"(121,)","(2,)","(-309,)",,2,,10,"(10002,)",,
,121,我顿了一下，脸上忍不住露出了一抹玩味的笑意。,"(1000,)",旁白,0,"(122,)","(2,)","(-309,)",,2,,10,"(10002,)",,
,122,嫁出去有什么好处？七天？为什么七天？\n超过七天……怕是太太就做不了主了吧？,"(1000,)",玩家,-1,"(123,)","(2,)","(-309,)",,2,,10,"(10002,)",,
,123,这期间定然发生了什么我不了解的事情。,"(1000,)",玩家,-1,"(124,)","(2,)","(-309,)",,2,,10,"(10002,)",,
,124,青湖，我回来之前，家中可有什么要事？\n或是……宫中？,"(40021,)",玩家,-1,"(125,)","(2,)","(-309,)",,2,,1001,,,
,125,家中倒是没有什么大事……\n……宫中？,"(40021,)",青湖,40021,"(126,)","(2,)","(-309,)",,2,,1001,,,
,126,奴婢想起来了！前阵子宫中传来消息说要选秀女，因您常年不在家中，百花使便选了二小姐……,"(40021,)",青湖,40021,"(127,)","(2,)","(-309,)",,2,,1001,,,
,127,那我回来了呢？,"(40021,)",玩家,-1,"(128,)","(2,)","(-309,)",,2,,1001,,,
,128,有则选其优……您是说？,"(40021,)",青湖,40021,"(129,)","(2,)","(-309,)",,2,,1001,,,
,129,怕就是如此了……,"(40021,)",玩家,-1,"(130,)","(2,)","(-309,)",,2,,1001,,,
,130,我想了想，突然想到了天牢、贿赂还有举报我父亲的官员。,"(40021,)",旁白,0,"(131,)","(2,)","(-309,)",,2,,1001,,,
,131,太太一介深闺妇人，到底还是……见识浅了些。,"(40021,)",玩家,-1,"(132,)","(2,)","(-309,)",,2,,1001,,,
,132,那您还不赶紧去找太太问个清楚？难道就任由太太摆布么？,"(40021,)",青湖,40021,"(133,134,)","(2,)","(-309,)",,2,,1001,,,
,133,你觉得太太与我父亲入狱有关吗？,"(40021,)",玩家,-1,"(135,)","(2,)","(-309,)",,2,,1001,,,
,134,你的意思是我现在就去见太太？,"(40021,)",玩家,-1,"(137,)","(2,)","(-309,)",,2,,1001,,,
,135,奴婢不敢说，小姐心中定然已经有了定论。,"(40021,)",青湖,40021,"(136,)","(2,)","(-309,)",,2,,1001,,,
,136,我微微点头，如我爹那般的老狐狸，怎会因为收受贿赂入狱？,"(40021,)",旁白,0,"(140,)","(2,)","(-309,)",,2,,1001,,,
,137,老爷身陷牢中，小姐还是与太太讲明白才好……,"(40021,)",青湖,40021,"(138,)","(2,)","(-309,)",,2,,1001,,,
,138,我似笑非笑的看了她一眼。,"(40021,)",旁白,0,"(139,)","(2,)","(-309,)",,2,,1001,,,
,139,你以为我们家太太是个聪明的？\n我爹那般的人物会因为这些小事就被关入天牢？\n定然有其他势力插手此事。,"(40021,)",玩家,-1,"(140,)","(2,)","(-309,)",,2,,1001,,,
,140,不管怎么说，小姐还是再去见一回太太吧。,"(40021,)",青湖,40021,"(141,)","(2,)","(-309,)",,2,,1001,,,
,141,也是，我们走吧。,"(40021,)",玩家,-1,,"(2,)","(-309,)",,2,,1001,,,"(142,)"
1-8-(11)-柳氏,142,太太万安。,"(40018,)",玩家,-1,"(143,)","(2,)","(-309,)",,1,,1001,,,
,143,大小姐来了？春雨，去给大小姐沏茶。,"(40018,)",柳氏,40018,"(144,)","(2,)","(-309,)",,1,,1001,,,
,144,谢过太太。,"(40018,)",玩家,-1,"(145,)","(2,)","(-309,)",,1,,1001,,,
,145,大小姐此来，是否知晓了寻家一事？,"(40018,)",柳氏,40018,"(146,)","(2,)","(-309,)",,1,,1001,,,
,146,正是，劳太太忧心了。,"(40018,)",玩家,-1,"(147,)","(2,)","(-309,)",,1,,1001,,,
,147,寻太太，是姐姐的闺蜜，那时候你还小，怕是不记得。,"(40018,)",柳氏,40018,"(148,)","(2,)","(-309,)",,1,,1001,,,
,148,我记得，毕竟寻这个姓氏这么少见——\n如今家逢大难，蒙人不弃，将我嫁出逃过此劫才是最好？,"(40018,)",玩家,-1,"(149,)","(2,)","(-309,)",,1,,1001,,,
,149,大小姐能明白我这番苦心是最好的……\n就是太委屈大小姐了。,"(40018,)",柳氏,40018,"(150,)","(2,)","(-309,)",,1,,1001,,,
,150,也不算委屈，自古锦上添花易，雪中送炭难。\n寻太太愿意在我们家遭逢大难之际履行婚约，当真也是有情有义。,"(40018,)",玩家,-1,"(151,)","(2,)","(-309,)",,1,,1001,,,
,151,大小姐能出落得这么懂事，姐姐若是泉下有知，怕也是能无憾了。,"(40018,)",柳氏,40018,"(152,)","(2,)","(-309,)",,1,,1001,,,
,152,太太，您可知父亲受贿一事始末？,"(40018,)",玩家,-1,"(153,)","(2,)","(-309,)",,1,,1001,,,
,153,柳氏的眼神闪动了一下，有些不自然的挪开了目光。,"(40018,)",旁白,0,"(154,)","(2,)","(-309,)",,1,,1001,,,
,154,大小姐为何突然询问此事？我一深宅妇人实在是不懂官场上的事情。,"(40018,)",柳氏,40018,"(155,)","(2,)","(-309,)",,1,,1001,,,
,155,既然如此，我也不便多说与太太。,"(40018,)",玩家,-1,"(156,)","(2,)","(-309,)",,1,,1001,,,
,156,太太，我府正当危难，还望太太约束下人，谨守府中，莫要失了我南府应有的气度。,"(40018,)",玩家,-1,"(157,)","(2,)","(-309,)",,1,,1001,,,
,157,大小姐这是什么意思？我……,"(40018,)",柳氏,40018,"(158,)","(2,)","(-309,)",,1,,1001,,,
,158,我摆了摆手，阻止她讲下去。,"(40018,)",旁白,0,"(159,)","(2,)","(-309,)",,1,,1001,,,
,159,您是主母，如何做您应该明白，我不便多言。太太您是聪明人，不必我多饶口舌。,"(40018,)",玩家,-1,"(160,)","(2,)","(-309,)",,1,,1001,,,
,160,大小姐这是什么意思？！难道是我做的还不够好吗？,"(40018,)",柳氏,40018,,"(2,)","(-309,)",,1,,1001,,进入战斗,"(161,)"
1-9-(12)-青湖,161,青湖，传我命令。将刚刚与春雨说话的几人还有春雨都关到柴房去，不准他们出入……我回来之前谁人都不得入内。,"(40021,)",玩家,-1,"(162,)","(2,)","(-309,)",,2,,1001,,,
,162,小姐，这……太太要是知道了……,"(40021,)",青湖,40021,"(163,)","(2,)","(-309,)",,2,,1001,,,
,163,无碍，若是我爹能顺利脱困，我就回山上……\n若是我爹不能出来……倾巢之下，焉有完卵？,"(40021,)",玩家,-1,"(164,)","(2,)","(-309,)",,2,,1001,,,
,164,是，我这就去。,"(40021,)",青湖,40021,,"(2,)","(-309,)",,2,,1001,,,"(165,)"
1-10-(13)-王伯,165,王伯，您为何在后院？,"(40028,)",玩家,-1,"(166,)","(2,)","(-356,)",,2,,1001,,,
,166,小姐，前院有人大闹府中，坚持要见老爷。,"(40028,)",王管家,40028,"(167,)","(2,)","(-356,)",,2,20004,1001,,,
,167,什么时候的事情？,"(40028,)",玩家,-1,"(168,)","(2,)","(-356,)",,2,,1001,,,
,168,就刚刚，那人无赖得很，现在还在前院闹腾呢，府中无人主事，便来找您拿个主意。,"(40028,)",王管家,40028,"(169,)","(2,)","(-356,)",,2,,1001,,,
,169,找我爹？什么事儿？,"(40028,)",玩家,-1,"(170,)","(2,)","(-356,)",,2,,1001,,,
,170,仿佛是要去救什么人，说是老爷曾欠了他长辈一份人情。,"(40028,)",王管家,40028,"(171,)","(2,)","(-356,)",,2,,1001,,,
,171,长辈？人情？,"(40028,)",旁白,0,"(172,)","(2,)","(-356,)",,2,,1001,,,
,172,他有什么要求？,"(40028,)",玩家,-1,"(173,)","(2,)","(-356,)",,2,,1001,,,
,173,无他，想要一个郎中随他去救人。,"(40028,)",王管家,40028,"(174,)","(2,)","(-356,)",,2,,1001,,,
,174,我想了想，犹豫的小声的喊了一声。,"(40028,)",旁白,0,"(175,)","(2,)","(-356,)",,2,,1001,,,
,175,……承影可在？,"(40028,)",玩家,-1,"(176,)","(2,)","(-356,)",,2,,1001,,,
,176,一道灰影从屋顶落了下来，悄无声息的落在了我的面前。,"(40028,40008,)",旁白,0,"(177,)","(1,3,)","(-356,-356,)",,2,,1001,"(10001,)",,
,177,王伯后退了一步，险些惊呼了一声。,"(40028,40008,)",旁白,0,"(178,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,178,我定睛去看，是一个面容清隽的灰衣男子。,"(40028,40008,)",旁白,0,"(179,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,179,属下承影见过大小姐。,"(40028,40008,)",承影,40008,"(180,)","(1,3,)","(-356,-356,)",,2,10008,1001,,,
,180,你是……承影？,"(40028,40008,)",玩家,-1,"(181,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,181,男子面无表情，带着一种说不上的死寂与冷锐。,"(40028,40008,)",旁白,0,"(182,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,182,是，我就是承影。,"(40028,40008,)",承影,40008,"(183,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,183,我叹了一声，五年时间，物是人非。,"(40028,40008,)",旁白,0,"(184,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,184,承影，是我南府最强之剑。\n五年前，承影还不是他。,"(40028,40008,)",旁白,0,"(185,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,185,承影，劳你随那小子走一趟，听说是要救什么人？\n若是人救回来了也就罢了，若是有什么不对，你就将那小子带回来。,"(40028,40008,)",玩家,-1,"(186,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,186,是，属下遵命。,"(40028,40008,)",承影,40008,"(187,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,187,王伯，带他去见那小子。,"(40028,40008,)",玩家,-1,"(188,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,188,是，我这就去。,"(40028,40008,)",王管家,40028,"(189,)","(1,3,)","(-356,-356,)",,2,,1001,,,
,189,王管事没敢多问，急急忙忙的走了。我想了想，朝花园走去。,,旁白,0,"(190,)",,,,2,,1001,,,
,190,小时候我常与我爹玩寻宝游戏，我爹最喜欢把线索藏在花园的一个角落里了……那处只有我和我爹知道，先去看看那里有没有线索。,,旁白,0,,,,,2,,1001,,,"(191,)"
1-11-(14)-盒子,191,"盒子是一封信件,拆开后，纸上只有一句话——\n慎——枫山主人。",,旁白,,,,,,1,,1001,"(10009,)",,"(192,)"
1-12-(15)-柳氏,192,我嫁入南府十数年，没想到得了大小姐如此诛心之语！,"(40018,)",柳氏,40018,"(193,)","(1,3,)","(-356,-356,)",,1,,1001,,,
,193,大小姐如此不敬主母！难道不怕天打雷劈吗？,"(40019,)",春雨,40019,"(194,)","(1,3,)","(-356,-356,)",,1,,1001,,,
,194,太太言重了。,"(40018,)",玩家,-1,"(195,)","(1,3,)","(-356,-356,)",,1,,1001,,,
,195,如此，我便替逝去的姐姐，训诫一番大小姐！,"(40018,)",柳氏,40018,"(196,)","(1,3,)","(-356,-356,)",,1,,1001,,,
,196,呵。,"(40018,)",玩家,-1,,"(1,3,)","(-356,-356,)",,1,,1001,,,"(197,)"
1-13-(16)-青湖,197,小姐，这信……,"(40021,)",青湖,40021,"(198,)","(2,)","(-309,)",,2,,1001,,,
,198,"枫山历来是皇家猎场。内里设有行宫,无事不得进出。枫山之主……恐怕也不是什么简单人物。","(1000,)",旁白,0,"(199,)","(2,)","(-309,)",,2,,10,,,
